,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.43,0.96,0.5,0.44,0.0,0.96,0.5,0.0,0.59,0.37,0.5,0.67,0.62,0.51,0.35,0.38,0.94,0.65
brlcad.csv,0.33,0.59,0.56,0.78,0.93,0.95,0.53,0.72,0.98,0.94,0.88,0.94,0.86,0.95,0.62,0.55,0.9,0.83
genoviz.csv,0.65,0.99,0.0,0.91,0.0,0.89,0.89,0.8,0.71,0.52,0.71,0.89,0.75,0.91,0.78,0.89,0.91,0.88
gnupdate.csv,0.36,0.56,0.67,0.43,0.66,0.56,0.62,0.55,0.45,0.49,0.55,0.58,0.69,0.56,0.41,0.48,0.68,0.38
google-gears.csv,0.62,0.46,0.53,0.43,0.47,0.48,0.41,0.4,0.43,0.52,0.36,0.47,0.42,0.51,0.4,0.39,0.51,0.37
konversation.csv,0.43,0.88,0.82,0.52,0.58,0.76,0.77,0.52,0.58,0.62,0.86,0.47,0.81,0.55,0.48,0.49,0.9,0.46
linux-ntfs.csv,0.44,0.46,0.61,0.76,0.88,0.46,0.46,0.7,0.52,0.43,0.38,0.5,0.39,0.53,0.5,0.52,0.52,0.34
linuxsh.csv,0.35,0.93,0.66,0.9,0.61,0.9,0.81,0.76,0.74,0.86,0.94,0.85,0.92,0.96,0.71,0.64,0.95,0.88
modplug.csv,0.33,0.44,0.44,0.4,0.46,0.42,0.41,0.42,0.39,0.4,0.43,0.45,0.4,0.45,0.39,0.4,0.5,0.31
nativeclient.csv,0.35,0.43,0.42,0.4,0.48,0.43,0.43,0.41,0.42,0.35,0.36,0.44,0.51,0.44,0.35,0.4,0.53,0.33
ogre.csv,0.83,0.74,0.69,0.46,0.89,0.45,0.53,0.63,0.54,0.5,0.62,0.55,0.54,0.5,0.54,0.49,0.52,0.61
openfrag.csv,0.33,0.46,0.45,0.5,0.53,0.94,0.4,0.9,0.54,0.41,0.45,0.52,0.59,0.55,0.4,0.41,0.71,0.4
projecteqemu.csv,0.35,0.48,0.47,0.8,0.44,0.96,0.62,0.43,0.49,0.46,0.5,0.93,0.89,0.72,0.47,0.63,0.64,0.32
qse.csv,0.37,1.0,0.85,0.49,0.67,0.86,0.67,0.52,0.45,0.4,0.48,0.62,0.53,0.57,0.67,0.5,0.71,0.35
sandiaportals.csv,0.32,0.47,0.48,0.47,0.55,0.97,0.46,0.47,0.46,0.45,0.5,0.56,0.63,0.59,0.4,0.45,0.69,0.35
sauerbraten.csv,0.39,0.44,0.44,0.42,0.46,0.42,0.4,0.43,0.46,0.38,0.39,0.43,0.39,0.46,0.4,0.41,0.49,0.35
turbotrader-bos.csv,0.31,0.55,0.89,0.74,0.68,0.94,0.52,0.5,0.47,0.41,0.45,0.56,0.61,0.61,0.39,0.41,0.83,0.36
xapian.csv,0.65,0.51,0.53,0.56,0.69,0.48,0.41,0.57,0.48,0.39,0.38,0.5,0.55,0.47,0.37,0.52,0.52,0.33
