,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.42,0.01,0.04,0.39,0.0,0.5,0.22,0.0,0.58,0.42,0.38,0.13,0.18,0.11,0.72,0.28,0.0,0.33
brlcad.csv,0.96,0.39,0.56,0.17,0.07,0.5,0.47,0.15,0.11,0.18,0.04,0.06,0.03,0.03,0.28,0.22,0.01,0.22
genoviz.csv,0.21,0.07,0.0,0.06,0.0,0.5,0.06,0.0,0.11,0.13,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.07
gnupdate.csv,0.79,0.56,0.35,0.82,0.21,0.0,0.45,0.3,0.67,0.58,0.62,0.32,0.41,0.32,0.55,0.61,0.3,0.76
google-gears.csv,0.33,0.71,0.47,0.83,0.83,0.75,0.96,0.85,0.89,0.42,0.42,0.85,0.77,0.32,0.76,0.94,0.9,0.78
konversation.csv,0.29,0.24,0.22,0.2,0.22,0.0,0.08,0.4,0.34,0.4,0.12,0.42,0.18,0.24,0.52,0.33,0.12,0.58
linux-ntfs.csv,0.29,0.36,0.29,0.26,0.17,1.0,0.47,0.34,0.34,0.71,0.88,0.43,0.8,0.38,0.34,0.39,0.51,0.67
linuxsh.csv,0.67,0.29,0.45,0.1,0.34,0.0,0.2,0.34,0.32,0.22,0.38,0.04,0.2,0.16,0.48,0.06,0.1,0.13
modplug.csv,0.96,0.92,1.0,0.76,0.95,1.0,0.96,0.91,0.61,0.82,0.33,0.75,0.58,0.76,0.79,0.67,0.71,0.96
nativeclient.csv,0.58,0.72,0.65,0.56,0.67,0.75,0.55,0.51,0.51,0.8,0.21,0.64,0.26,0.51,0.76,0.33,0.29,0.71
ogre.csv,0.12,0.4,0.42,0.88,0.24,0.0,0.57,0.55,0.7,0.76,0.42,0.85,0.68,0.86,0.48,0.78,0.83,0.47
openfrag.csv,0.88,0.74,0.64,0.4,0.41,1.0,0.98,0.02,0.59,0.51,0.21,0.25,0.19,0.27,1.0,0.61,0.25,0.82
projecteqemu.csv,0.38,0.69,0.65,0.09,0.6,0.5,0.2,0.47,0.27,0.27,0.0,0.04,0.01,0.08,0.28,0.0,0.21,0.73
qse.csv,0.58,0.14,0.16,0.4,0.01,0.5,0.04,0.13,0.88,0.47,0.62,0.19,0.47,0.3,0.1,0.0,0.22,0.93
sandiaportals.csv,0.96,0.94,0.91,0.38,0.49,0.5,0.67,0.64,0.55,0.51,0.12,0.21,0.18,0.27,0.9,0.17,0.31,0.91
sauerbraten.csv,0.21,0.98,1.0,0.99,1.0,1.0,0.98,1.0,0.76,0.91,0.88,1.0,0.97,0.92,1.0,0.89,0.99,0.93
turbotrader-bos.csv,0.46,0.33,0.11,0.13,0.16,0.5,0.18,0.19,0.23,0.24,0.12,0.13,0.16,0.11,0.59,0.17,0.06,0.64
xapian.csv,0.33,0.43,0.62,0.62,0.47,1.0,0.61,0.43,0.75,0.64,0.38,0.79,0.23,0.97,0.69,0.28,0.9,0.89
