,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.5,0.0,0.25,0.37,0.34,0.63,0.27,0.66,0.28,0.43,0.47
avisynth2.csv,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
coot.csv,0.25,0.33,0.5,0.46,0.75,0.16,0.39,0.41,0.44,0.0,0.56
dsworkbench.csv,0.0,0.12,0.07,0.17,0.06,0.26,0.15,0.2,0.21,0.14,0.12
freelords.csv,0.69,0.6,0.04,0.63,0.34,0.63,0.51,0.48,0.51,0.59,0.63
gephex.csv,0.81,0.52,0.25,0.37,0.31,0.68,0.0,0.68,0.46,0.49,0.63
jas.csv,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jpaul.csv,0.25,0.04,0.07,0.0,0.09,0.1,0.0,0.28,0.26,0.19,0.16
ngl.csv,0.56,0.38,0.43,0.32,0.12,0.4,0.41,0.0,0.4,0.51,0.4
scenemonitor.csv,0.56,0.67,0.54,0.63,0.06,0.68,0.68,0.71,0.51,0.73,0.84
synecdoche.csv,0.31,0.17,0.39,0.22,0.53,0.15,0.17,0.44,0.38,0.24,0.0
