,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.55,0.0,0.72,0.55,0.61,1.18,0.56,0.88,1.04,0.76,0.65
avisynth2.csv,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.99,1.0,0.95,1.0
coot.csv,0.63,0.81,0.78,0.66,0.83,0.69,0.77,0.68,0.98,0.05,0.91
dsworkbench.csv,0.0,0.76,0.93,0.78,0.9,0.71,0.83,0.92,1.02,0.89,0.87
freelords.csv,0.73,0.77,0.04,0.68,0.69,0.63,0.72,0.6,0.51,0.67,0.88
gephex.csv,0.84,0.63,0.54,0.47,0.77,0.75,0.03,0.8,0.59,0.83,0.7
jas.csv,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
jpaul.csv,0.61,0.77,0.74,0.06,0.86,1.0,0.9,0.8,0.68,0.9,0.84
ngl.csv,0.77,0.71,0.66,0.39,0.61,0.4,0.65,0.0,0.74,0.62,0.68
scenemonitor.csv,0.6,0.75,0.73,0.79,0.12,0.68,0.77,0.73,0.57,0.74,0.87
synecdoche.csv,0.46,0.67,0.53,0.42,0.84,1.01,0.77,0.75,0.73,0.69,0.1
