,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.78,0.69,0.93,0.78,0.52,0.73,0.34,0.75,0.41,0.23,0.31
gdis.csv,0.67,0.6,0.68,0.61,0.71,0.79,0.59,0.75,0.19,0.68,0.65
genoviz.csv,0.93,0.8,0.97,0.91,0.73,0.97,1.0,0.79,0.97,0.52,0.09
kml.csv,0.48,0.7,1.01,0.87,0.92,0.76,0.32,0.83,0.52,0.88,1.0
omseek.csv,1.0,0.89,1.0,0.91,0.62,0.39,0.97,0.93,0.95,0.62,0.27
ossbuild.csv,0.45,0.44,0.38,0.58,0.47,0.5,0.95,0.64,0.72,0.7,0.65
popeye-chess.csv,0.6,0.4,0.87,0.69,0.49,0.67,0.56,0.6,0.41,0.8,0.52
quarkplayer.csv,0.92,0.63,0.76,0.36,0.68,0.8,0.75,0.91,0.65,0.85,1.01
turbotrader-bos.csv,0.7,0.52,0.89,0.75,0.39,0.67,0.56,0.72,0.67,0.71,0.68
virtuoso.csv,1.0,0.83,0.75,0.92,0.8,0.99,0.95,0.52,1.0,0.75,0.89
zscreen.csv,0.25,0.59,0.4,0.91,0.71,0.59,0.75,0.82,0.69,0.58,0.56
