,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.1,0.03,0.32,0.06,0.17,0.05,0.17,0.12,0.09,0.21,0.02
arsenal-1.csv,1.0,0.29,0.19,0.17,0.0,0.27,0.29,0.88,0.18,0.43,0.7
barracudamvc.csv,0.3,0.94,1.0,1.0,1.0,0.94,0.9,0.75,0.91,0.71,0.77
cascading.csv,0.3,0.48,0.16,0.72,0.61,0.19,0.48,0.5,0.42,0.64,0.56
emisview.csv,0.1,0.13,0.42,0.25,0.04,0.28,0.4,0.62,0.09,0.21,0.14
jitterbit.csv,0.9,0.97,0.58,0.6,0.26,0.23,0.83,0.25,0.3,0.64,0.55
jppf-project.csv,0.75,0.97,0.52,0.72,0.7,0.79,0.81,0.12,0.64,0.43,0.65
mevenide.csv,0.85,0.26,0.0,0.04,0.0,0.13,0.07,0.12,0.06,0.29,0.2
mycila.csv,0.6,0.9,0.39,0.89,0.83,0.46,0.21,0.38,0.67,0.64,0.57
ontopia.csv,0.35,0.45,0.65,0.77,0.74,0.44,0.55,0.75,0.21,0.29,0.14
trackit.csv,0.15,0.03,0.55,0.25,0.43,0.49,0.57,0.12,0.09,0.07,0.06
