,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.48,0.0,0.67,0.42,0.3,0.54,0.0,0.49,0.34,0.26,0.28
arsenal-1.csv,0.84,0.64,0.19,0.32,0.09,0.46,0.17,0.84,0.34,0.33,0.42
barracudamvc.csv,0.79,0.62,0.55,0.45,0.78,0.37,0.32,0.85,0.83,0.9,0.25
cascading.csv,0.52,0.62,0.62,0.42,0.59,0.4,0.38,0.5,0.8,0.6,0.36
emisview.csv,0.44,0.37,0.68,0.59,0.35,0.49,0.14,0.6,0.27,0.2,0.39
jitterbit.csv,0.77,0.64,0.64,0.43,0.46,0.62,0.24,0.59,0.51,0.55,0.49
jppf-project.csv,0.7,0.63,0.31,0.28,0.72,0.32,0.24,0.87,0.78,0.54,0.45
mevenide.csv,0.73,0.29,0.0,0.08,0.0,0.39,0.0,0.48,0.26,0.24,0.69
mycila.csv,0.65,0.53,0.16,0.31,0.6,0.19,0.59,0.69,0.78,0.86,0.16
ontopia.csv,0.33,0.54,0.47,0.44,0.6,0.39,0.31,0.83,0.23,0.87,0.22
trackit.csv,0.14,0.0,0.41,0.4,0.64,0.42,0.21,0.19,0.05,0.27,0.26
