,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv,
alembik.csv,0.25,0.15,0,0.62,0.21,0.14,0.2,0.44,0.12,0.13,0,1
arsenal-1.csv,0.79,0.33,0.63,0.07,0.24,0.18,0.43,0.2,0.43,0.35,0.21,2
barracudamvc.csv,0.91,0.59,0.64,0.59,0.43,0.91,0.53,0.42,0.4,0.85,0.81,5
irplus.csv,0.7,0.2,0,0.39,0.43,0.29,0.43,0.26,0.37,0.61,0.62,3
lite.csv,0.29,0.17,0.14,0.23,0.07,0.37,0.07,0.59,0.17,0.17,0.15,0
mevenide.csv,0.46,0.34,0.28,0.22,0.07,0.2,0.08,0.11,0.67,0.09,0.25,1
mumble.csv,0.64,0.6,0.38,0.14,0.69,0.86,0.34,0.38,0.2,0.3,0.78,5
ontopia.csv,0.85,0.59,0.58,0.56,0.44,0.9,0.5,0.44,0.29,0.84,0.81,4
openintents.csv,0.55,0.64,0.64,0.61,0.25,0.7,0.57,0.45,0.31,0.67,0.68,6
ta3d.csv,0.6,0.28,0.67,0.22,0.33,0.4,0.5,0.23,0.18,0.32,0.82,3
tweetsharp.csv,0.7,0.5,0.64,0.58,0.51,0.73,0.5,0.38,0.34,0.82,0.75,5
