,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.86,0.91,1.0,0.47,0.88,0.95,0.88,0.59,0.93,0.93,1.0
arsenal-1.csv,1.02,0.77,0.49,0.97,0.82,0.94,0.69,0.87,0.6,0.79,0.89
barracudamvc.csv,0.85,0.91,1.0,1.0,1.0,0.93,1.0,1.0,0.99,1.0,1.0
irplus.csv,0.65,0.88,1.0,0.72,0.59,0.92,0.69,0.81,0.65,0.59,0.58
lite.csv,0.86,0.92,0.93,0.86,0.96,0.9,0.96,0.48,0.9,0.91,0.92
mevenide.csv,0.81,0.77,0.82,0.87,0.96,0.91,0.96,0.93,0.39,0.96,0.86
mumble.csv,0.54,0.85,0.81,0.92,0.34,0.53,0.86,0.66,0.84,0.85,0.49
ontopia.csv,0.77,0.97,0.98,0.94,0.98,0.79,0.82,0.86,0.87,1.0,1.0
openintents.csv,0.71,0.45,1.0,0.9,0.99,0.75,0.69,0.9,0.72,0.99,0.92
ta3d.csv,0.67,0.83,0.63,0.87,0.72,0.79,0.61,0.82,0.9,0.85,0.94
tweetsharp.csv,0.65,0.75,1.0,0.94,0.61,0.43,0.72,0.98,0.71,0.68,0.67
