,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.94,0.67,0.0,0.65,0.75,0.67,0.6,0.41,0.67,0.75,0.0
arsenal-1.csv,0.8,0.46,0.63,0.17,0.31,0.67,0.67,0.4,0.31,0.9,1.0
barracudamvc.csv,0.86,0.42,0.47,0.42,0.28,0.85,0.36,0.27,0.25,0.74,0.69
irplus.csv,0.86,0.43,0.0,0.5,0.35,0.7,0.67,0.38,0.33,0.83,0.78
lite.csv,0.79,0.23,1.0,0.75,0.25,0.73,0.25,0.67,0.43,0.8,0.75
mevenide.csv,0.79,0.39,0.56,0.6,0.25,0.75,1.0,0.33,0.72,0.5,1.0
mumble.csv,0.94,0.44,0.38,0.29,0.71,0.9,0.28,0.3,0.2,0.67,0.79
ontopia.csv,0.85,0.42,0.43,0.41,0.28,0.87,0.36,0.29,0.2,0.73,0.69
openintents.csv,0.84,0.67,0.47,0.44,0.17,0.84,0.42,0.29,0.26,0.67,0.64
ta3d.csv,0.86,0.67,0.55,0.6,0.35,0.83,0.67,0.27,0.6,0.64,0.7
tweetsharp.csv,0.86,0.41,0.47,0.42,0.36,0.96,0.38,0.25,0.25,0.78,0.73
