,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.17,0.11,0.0,0.62,0.15,0.1,0.15,0.51,0.09,0.09,0.0
arsenal-1.csv,0.0,0.3,0.64,0.06,0.24,0.13,0.37,0.16,0.65,0.25,0.13
barracudamvc.csv,0.46,0.33,0.0,0.0,0.0,0.27,0.0,0.0,0.05,0.0,0.0
irplus.csv,0.57,0.16,0.0,0.36,0.57,0.21,0.37,0.24,0.45,0.52,0.54
lite.csv,0.21,0.16,0.09,0.17,0.05,0.28,0.05,0.58,0.12,0.12,0.11
mevenide.csv,0.35,0.34,0.23,0.17,0.05,0.14,0.05,0.09,0.66,0.06,0.17
mumble.csv,0.54,0.46,0.39,0.11,0.71,0.73,0.42,0.53,0.24,0.22,0.72
ontopia.csv,0.57,0.13,0.13,0.24,0.09,0.55,0.5,0.46,0.44,0.0,0.0
openintents.csv,0.44,0.64,0.0,0.36,0.34,0.54,0.65,0.36,0.41,0.25,0.36
ta3d.csv,0.48,0.2,0.69,0.17,0.36,0.3,0.45,0.24,0.12,0.24,0.24
tweetsharp.csv,0.57,0.54,0.0,0.24,0.71,0.63,0.59,0.09,0.52,0.65,0.64
