,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.62,0.0,0.76,0.0,0.0
mediaportal.csv,0.4,0.46,0.13,0.55,0.52
poormans.csv,0.48,0.3,0.09,0.67,0.76
smartgwt.csv,0.47,0.75,0.63,0.5,0.6
sqlpower-library.csv,0.73,0.37,0.48,0.0,0.51
