,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.69,1.0,0.39,1.0,1.0
mediaportal.csv,0.66,0.6,0.89,0.54,0.55
poormans.csv,0.58,0.74,0.93,0.53,0.33
smartgwt.csv,0.72,0.32,0.66,0.66,0.6
sqlpower-library.csv,0.39,0.92,0.84,1.0,0.83
