,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.93,0.83,0.68,0.76,0.93,0.88,0.83,0.8,0.86,0.0
flylegacy.csv,0.36,0.78,0.36,0.54,0.42,0.51,0.36,0.37,0.41,0.59
jguard.csv,0.38,0.83,0.32,0.42,0.32,0.67,0.37,0.38,0.42,0.53
m-a-d-n-e-s-s.csv,0.88,0.0,0.82,0.98,0.8,0.75,0.0,0.67,0.55,0.8
mob-sen-plat.csv,0.34,0.34,0.33,0.32,0.28,0.36,0.34,0.29,0.37,0.38
raygina.csv,0.48,0.75,0.38,0.36,0.62,0.47,0.95,0.67,0.7,0.61
st-filteredstatistics.csv,0.35,0.56,0.34,0.34,0.31,0.5,0.38,0.34,0.4,0.43
upp-mirror.csv,0.63,0.75,0.39,0.6,0.38,0.74,0.72,0.6,0.53,0.6
wishmaster.csv,0.71,0.89,0.47,0.56,0.36,0.44,0.56,0.88,0.62,0.46
yarp.csv,0.91,0.0,0.89,0.97,0.0,0.67,0.79,0.75,0.88,0.52
