,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.94,0.66,0.58,0.65,0.74,0.81,0.24,0.53,0.87,0.62,0.8
gstreamer.csv,0.52,0.59,0.66,0.73,0.71,0.5,0.16,0.59,0.55,0.29,0.48
ktc.csv,0.21,0.31,0.34,0.24,0.09,0.12,0.04,0.35,0.41,0.18,0.26
mbse.csv,0.41,0.12,0.28,0.35,0.26,0.21,0.08,0.47,0.35,0.14,0.22
nebuladevice.csv,0.42,0.41,0.0,0.37,0.37,0.56,0.12,0.02,0.24,0.0,0.33
neoengine.csv,0.18,0.31,0.99,0.41,0.04,0.65,0.08,0.98,0.54,0.91,0.5
openmalaria.csv,0.82,0.44,0.59,0.24,0.42,0.54,0.24,0.29,0.76,0.5,0.72
rtrt-on-gpu.csv,0.52,0.46,0.95,0.33,0.36,0.21,0.84,0.89,0.69,0.7,0.48
salasaga.csv,0.31,0.45,0.63,0.12,0.58,0.38,0.68,0.31,0.23,0.61,0.78
skia.csv,0.35,0.56,0.45,0.24,0.04,0.15,0.2,0.27,0.51,0.3,0.28
xemeiah.csv,0.29,0.65,0.78,0.06,0.27,0.44,0.72,0.41,0.28,0.66,0.67
