,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.41,0.43,0.33,0.53,0.46,0.13,0.94,0.2,0.19,0.65,0.38
gstreamer.csv,0.49,0.44,0.29,0.49,0.49,0.14,0.94,0.21,0.25,0.77,0.42
ktc.csv,0.7,0.56,0.42,0.65,0.7,0.25,0.97,0.24,0.22,0.82,0.48
mbse.csv,0.5,0.67,0.45,0.63,0.52,0.29,0.95,0.23,0.31,0.75,0.5
nebuladevice.csv,0.46,0.32,0.0,0.54,0.38,0.07,0.87,0.25,0.39,0.0,0.32
neoengine.csv,0.56,0.57,0.25,0.59,0.7,0.11,0.95,0.15,0.22,0.59,0.36
openmalaria.csv,0.45,0.5,0.32,0.73,0.59,0.19,0.92,0.26,0.21,0.68,0.39
rtrt-on-gpu.csv,0.47,0.45,0.25,0.6,0.56,0.41,0.78,0.14,0.2,0.59,0.44
salasaga.csv,0.57,0.45,0.31,0.68,0.56,0.28,0.64,0.28,0.24,0.62,0.36
skia.csv,0.55,0.42,0.34,0.68,0.83,0.36,0.92,0.27,0.16,0.58,0.52
xemeiah.csv,0.58,0.43,0.27,0.73,0.71,0.28,0.73,0.24,0.2,0.61,0.35
