,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.92,0.21,0.22,0.2,0.21,0.28,0.37,0.09,0.53,0.61,0.1,0.3,0.4,0.0,0.25,0.08
customsagetv.csv,0.12,0.08,0.13,0.03,0.21,0.1,0.0,0.13,0.03,0.1,1.0,0.0,0.0,0.0,0.38,0.0
glas.csv,0.46,0.42,0.37,0.4,0.31,0.43,0.58,0.52,0.63,0.45,0.17,0.4,0.2,0.92,0.5,0.57
intact.csv,0.38,0.83,0.39,0.97,0.77,0.49,0.3,0.13,0.74,0.67,0.65,0.9,0.4,0.05,0.5,0.98
japano.csv,0.96,0.92,0.9,0.67,0.72,1.0,0.98,0.83,0.89,0.96,0.27,0.6,1.0,0.92,0.5,0.8
jas.csv,0.15,0.12,0.29,0.23,0.26,0.18,0.21,0.13,0.11,0.31,0.4,0.25,0.8,0.32,0.88,0.22
lazarus-ccr.csv,0.65,1.0,0.63,0.33,0.13,0.14,0.47,0.57,0.5,0.37,0.4,0.55,0.2,0.32,1.0,0.12
officefloor.csv,0.81,0.5,0.77,0.63,0.77,0.75,0.58,0.7,0.79,0.8,0.92,0.7,1.0,0.97,0.12,0.55
primefaces.csv,0.58,0.21,0.4,0.67,0.59,0.46,0.53,0.7,0.39,0.43,0.08,0.35,0.8,0.7,0.62,0.98
pustefix.csv,0.19,0.08,0.1,0.3,0.54,0.39,0.26,0.96,0.37,0.18,0.81,0.55,0.0,0.41,0.0,0.2
red5.csv,0.73,0.42,0.48,0.67,0.49,0.66,0.98,0.39,0.71,0.76,0.27,0.35,0.2,0.62,0.12,0.7
redshell.csv,1.0,0.67,0.99,0.93,0.23,0.34,0.51,0.61,0.89,0.94,0.15,0.25,1.0,1.0,1.0,0.5
rohxel.csv,0.92,0.88,0.95,0.93,1.0,0.85,0.91,0.91,0.71,0.98,0.83,0.85,0.8,0.95,1.0,1.0
roolo.csv,0.19,0.38,0.06,0.1,0.13,0.14,0.21,0.0,0.26,0.29,0.12,0.95,0.0,0.0,0.12,0.28
toped.csv,0.85,0.67,0.31,0.33,0.13,0.3,0.26,0.22,0.5,1.0,0.0,0.15,0.2,0.24,0.12,0.3
xreal.csv,0.0,0.08,0.03,0.0,0.1,0.01,0.02,0.0,0.0,0.02,0.38,0.0,1.0,0.0,0.0,0.0
