,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.2,0.43,0.83,0.11,0.55,0.44,0.41,0.2,0.41,0.74,0.36,0.54
miranda-icq.csv,0.23,0.52,0.67,0.12,0.23,0.24,0.45,0.2,0.52,0.81,0.36,0.62
pclasses.csv,0.6,0.46,0.0,0.0,0.03,0.0,0.13,0.08,0.0,0.45,0.34,0.54
pfaedit.csv,0.09,0.65,0.35,0.15,0.79,0.1,0.66,0.26,0.07,0.74,0.42,0.41
rockbox.csv,0.26,0.55,0.0,0.24,0.72,0.2,0.61,0.3,0.22,0.52,0.4,0.68
theresa.csv,0.13,0.53,0.35,0.33,0.74,0.0,0.49,0.22,0.33,0.65,0.4,0.44
thrust.csv,0.0,0.17,0.54,0.0,0.55,0.55,0.23,0.22,0.29,0.2,0.22,0.32
tktoolkit.csv,0.21,0.38,0.14,0.0,0.75,0.37,0.46,0.39,0.26,0.62,0.26,0.62
trinitycore.csv,0.4,0.3,0.12,0.17,0.04,0.2,0.65,0.17,0.33,0.59,0.5,0.09
tzod.csv,0.24,0.61,0.59,0.05,0.65,0.26,0.43,0.17,0.37,0.43,0.33,0.3
yaprm.csv,0.23,0.45,0.0,0.22,0.11,0.29,0.67,0.26,0.14,0.72,0.34,0.4
