,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.44,0.41,0.81,0.57,0.49,0.33,0.42,0.28,0.61,0.0,0.52,0.57
miranda-icq.csv,0.46,0.59,0.34,0.41,0.18,0.36,0.44,0.26,0.65,0.0,0.49,0.68
pclasses.csv,0.82,0.53,0.0,0.0,0.02,0.0,0.1,0.05,0.0,0.34,0.45,0.6
pfaedit.csv,0.11,0.75,0.26,0.65,0.76,0.07,0.59,0.26,0.05,0.64,0.62,0.37
rockbox.csv,0.31,0.63,0.0,0.89,0.67,0.21,0.62,0.35,0.2,0.4,0.55,0.77
theresa.csv,0.21,0.6,0.26,0.94,0.7,0.0,0.45,0.56,0.41,0.54,0.44,0.37
thrust.csv,0.0,0.18,0.5,0.0,0.5,0.57,0.19,0.55,0.45,0.13,0.28,0.3
tktoolkit.csv,0.31,0.44,0.09,0.0,0.72,0.45,0.44,0.53,0.39,0.51,0.35,0.7
trinitycore.csv,0.65,0.3,0.09,0.77,0.02,0.27,0.61,0.3,0.35,0.48,0.67,0.06
tzod.csv,0.31,0.68,0.53,0.33,0.6,0.33,0.43,0.45,0.47,0.33,0.47,0.25
yaprm.csv,0.39,0.42,0.0,0.68,0.07,0.38,0.68,0.43,0.1,0.62,0.39,0.37
