,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,194.5,1364.5,99.0,358.0,195.0,97.5,97.5,97.5,98.5,98.5
electric-core.csv,3097.5,485.0,99.0,460.0,94.5,97.5,196.5,97.5,98.5,98.5
jahshakafx.csv,193.5,1274.0,99.0,260.5,94.5,97.5,363.5,97.5,98.5,98.5
jython.csv,7782.0,1076.5,99.0,258.5,228.5,83.5,95.5,97.5,98.5,98.5
kftpgrabber.csv,94.5,194.0,99.0,166.0,229.5,97.5,85.5,71.5,98.5,98.5
mvnforum.csv,4375.0,2248.0,99.0,1820.5,176.0,355.0,195.5,275.5,331.0,257.5
openmalaria.csv,293.5,784.5,99.0,358.0,195.0,97.5,196.5,97.5,98.5,98.5
plplot.csv,2346.5,3037.5,99.0,81.5,195.0,97.5,196.5,97.5,98.5,98.5
popeye-chess.csv,250.5,1954.5,99.0,179.0,269.5,97.5,181.0,97.5,98.5,98.5
zxing.csv,92.5,293.0,99.0,148.0,94.5,97.5,80.5,97.5,98.5,98.5
