,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.17,0.63,0.52,0.01,0.47,0.12,0.58,0.06,0.73,0.44,0.63
emono.csv,0.33,0.68,0.7,0.04,0.22,0.2,0.66,0.06,0.68,0.39,0.7
haggle.csv,0.17,0.61,0.49,0.06,0.4,0.11,0.6,0.1,0.61,0.53,0.41
hannosset.csv,0.21,0.16,0.1,0.0,0.36,0.38,0.34,0.0,0.09,0.21,0.24
jas.csv,0.43,0.55,0.38,0.07,0.31,0.05,0.67,0.43,0.42,0.29,0.58
jgossipforum.csv,0.45,0.54,0.45,0.4,0.39,0.0,0.61,0.0,0.58,0.44,0.47
madman.csv,0.11,0.54,0.33,0.04,0.55,0.15,0.59,0.0,0.32,0.35,0.37
mediate.csv,0.29,0.53,0.63,0.07,0.32,0.05,0.43,0.16,0.65,0.52,0.47
ngl.csv,0.46,0.78,0.71,0.05,0.31,0.18,0.64,0.15,0.73,0.49,0.69
pustefix.csv,0.52,0.51,0.29,0.05,0.35,0.0,0.5,0.13,0.55,0.43,0.55
synecdoche.csv,0.37,0.35,0.61,0.06,0.26,0.21,0.51,0.03,0.6,0.67,0.79
