,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.22,0.58,0.51,0.2,0.88,0.5,0.52,0.38,0.7,0.52,0.54
emono.csv,0.65,0.72,0.9,0.8,0.5,1.0,0.87,0.38,0.8,0.52,0.68
haggle.csv,0.13,0.51,0.44,0.8,0.88,0.33,0.58,0.5,0.65,0.69,0.29
hannosset.csv,0.13,0.09,0.05,0.0,0.5,0.83,0.27,0.0,0.05,0.14,0.15
jas.csv,0.48,0.43,0.33,1.0,0.75,0.17,0.69,1.0,0.42,0.31,0.56
jgossipforum.csv,0.74,0.42,0.38,1.0,0.75,0.0,0.56,0.0,0.55,0.52,0.35
madman.csv,0.09,0.41,0.23,0.4,1.0,0.33,0.52,0.0,0.25,0.31,0.26
mediate.csv,0.43,0.41,0.64,1.0,0.38,0.17,0.31,0.62,0.62,0.55,0.34
ngl.csv,1.0,0.97,0.87,0.6,1.0,1.0,0.61,0.88,0.88,0.69,0.76
pustefix.csv,0.61,0.42,0.21,0.6,0.88,0.0,0.44,1.0,0.55,0.45,0.48
synecdoche.csv,0.57,0.24,0.62,0.6,1.0,0.67,0.48,0.12,0.52,0.69,1.0
