,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.33,0.6,0.81,1.0,0.69,0.81,0.71,0.45,0.36,0.32,0.23,0.78
jaolt.csv,0.5,0.63,0.62,0.05,0.39,0.03,0.71,0.61,0.07,0.38,0.46,0.45
jcl.csv,0.33,0.23,0.38,0.37,0.61,0.75,0.49,0.53,0.79,0.38,0.23,0.48
kmess.csv,0.25,0.63,0.19,0.21,0.78,0.09,0.12,0.58,0.5,0.32,0.62,0.74
ossbuild.csv,0.0,0.4,0.65,0.32,0.47,0.75,0.3,0.39,0.64,0.27,0.77,0.48
qgo.csv,0.92,0.87,0.65,0.21,0.92,0.81,0.84,0.97,1.0,0.7,0.92,0.75
quark.csv,0.0,0.33,0.15,0.05,0.1,0.0,0.04,0.26,0.29,0.11,0.85,0.08
rezilla.csv,0.58,0.8,0.25,0.68,0.75,0.34,0.47,0.84,0.71,0.81,0.77,0.86
rhex.csv,0.92,0.67,0.13,0.0,0.31,0.06,0.63,0.58,0.79,0.32,0.62,0.3
toped.csv,0.0,0.73,0.63,0.89,0.76,0.94,0.58,0.21,0.79,0.41,0.92,0.56
truevision.csv,0.33,0.7,0.33,0.42,0.76,0.03,0.44,0.71,0.93,0.49,0.38,0.7
wxstudio.csv,0.5,0.07,0.19,0.05,0.25,0.22,0.42,0.47,0.07,0.65,0.08,0.27
