,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.16,0.52,0.71,0.49,0.78,0.28,0.73,0.53,0.17,0.29,0.2,0.72
jaolt.csv,0.36,0.58,0.55,0.1,0.54,0.05,0.76,0.49,0.09,0.48,0.3,0.56
jcl.csv,0.17,0.36,0.39,0.36,0.7,0.29,0.6,0.41,0.41,0.42,0.18,0.58
kmess.csv,0.13,0.6,0.27,0.29,0.84,0.15,0.21,0.61,0.21,0.43,0.4,0.72
ossbuild.csv,0.0,0.46,0.56,0.36,0.61,0.46,0.44,0.48,0.47,0.3,0.54,0.56
qgo.csv,0.28,0.87,0.47,0.3,0.88,0.2,0.79,0.52,0.22,0.58,0.32,0.69
quark.csv,0.0,0.44,0.23,0.1,0.18,0.0,0.08,0.37,0.25,0.18,0.61,0.14
rezilla.csv,0.16,0.66,0.22,0.63,0.78,0.14,0.54,0.48,0.21,0.63,0.35,0.74
rhex.csv,0.48,0.59,0.2,0.0,0.46,0.08,0.66,0.45,0.21,0.42,0.28,0.41
toped.csv,0.0,0.56,0.47,0.46,0.87,0.29,0.63,0.23,0.21,0.35,0.32,0.58
truevision.csv,0.18,0.66,0.33,0.46,0.82,0.06,0.58,0.69,0.24,0.46,0.33,0.7
wxstudio.csv,0.2,0.12,0.22,0.1,0.38,0.13,0.53,0.32,0.12,0.68,0.11,0.35
