,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv
acegisecurity.csv,0.0,0.98,0.54,0.0,0.0,0.11,0.35,0.14,0.0
gdis.csv,0.7,0.71,0.59,0.56,0.61,0.57,0.52,0.69,0.98
kml.csv,0.6,0.69,0.61,0.4,0.93,0.21,0.58,0.61,0.53
ppcboot.csv,0.58,0.67,0.62,0.9,0.71,0.4,0.44,0.57,0.61
repositorium.csv,0.35,0.32,0.25,0.61,0.37,0.93,0.11,0.64,0.54
rsyslog.csv,0.97,0.59,0.71,0.52,0.65,0.31,0.54,0.54,0.56
ultimairis.csv,0.3,0.34,0.67,0.5,0.2,0.64,0.89,0.66,0.58
wow-qrsk.csv,0.31,0.57,0.94,0.53,0.29,0.0,0.02,0.51,0.17
xbg.csv,0.0,0.0,0.09,0.21,0.13,0.0,0.05,0.79,0.0
