,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.52,0.41,0.59,0.0
jajuk.csv,0.0,0.4,0.48,0.88
vapor.csv,0.8,0.17,0.0,0.08
zorannt.csv,0.51,0.0,0.55,0.33
