,flylinkdc.csv,powerfolder-.csv,ltp.csv,pfaedit.csv,aime.csv,qtwin.csv
aime.csv,0.95,0.7,0.57,0.83,0.92,0.58
flylinkdc.csv,0.68,0.61,0.98,0.42,0.63,0.55
ltp.csv,0.91,0.66,0.45,0.0,0.8,1.0
pfaedit.csv,0.5,0.31,0.51,0.35,0.48,0.77
powerfolder-.csv,0.75,0.69,0.88,0.5,0.83,0.99
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.83
