,flylinkdc.csv,powerfolder-.csv,ltp.csv,pfaedit.csv,aime.csv,qtwin.csv
aime.csv,0.13,0.38,0.46,0.06,0.0,0.35
flylinkdc.csv,0.01,0.26,0.15,0.4,0.21,0.28
ltp.csv,0.07,0.3,0.01,0.0,0.06,0.24
pfaedit.csv,0.26,0.58,0.4,0.03,0.22,0.14
powerfolder-.csv,0.03,0.0,0.26,0.03,0.04,0.07
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0
