,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.5,0.56,0.37,0.0,0.17,0.78,0.74,0.0,0.3,0.0,0.33,0.68,0.37
fido.csv,0.13,0.43,0.04,0.0,0.04,0.97,0.48,0.07,0.0,0.24,0.0,0.28,0.71
fleet-simulator.csv,0.62,0.5,0.7,0.43,0.41,0.41,0.58,0.48,0.27,0.97,0.54,0.61,0.79
fluent-nhibernate.csv,0.16,0.29,0.67,0.6,0.39,0.74,0.58,0.61,0.68,0.02,0.24,0.91,0.4
galaxium.csv,0.68,0.6,0.72,0.72,0.71,0.29,0.57,0.63,0.36,0.78,0.59,0.73,0.61
itext.csv,0.72,0.48,0.63,0.75,0.8,0.62,0.38,0.62,0.36,0.79,0.69,0.57,0.63
mecat.csv,0.26,0.09,0.0,0.07,0.43,0.0,0.06,0.1,0.98,0.0,0.0,0.28,0.0
mediaportal.csv,0.46,0.16,0.39,0.22,0.62,0.0,0.19,0.61,0.7,0.38,0.24,0.67,0.33
ninject.csv,0.42,0.53,0.54,0.71,0.75,0.53,0.54,0.53,0.0,0.0,0.96,0.49,0.46
smartgwt.csv,0.41,0.46,0.45,0.18,0.76,0.57,0.63,0.38,0.0,0.05,0.59,0.45,0.58
sqlpower-library.csv,0.71,0.37,0.35,0.48,0.29,0.81,0.36,0.17,0.7,0.0,0.49,0.69,0.45
stuproa-cims.csv,0.45,0.63,0.2,0.22,0.62,0.0,0.02,0.43,0.38,0.0,0.52,0.73,0.71
uface.csv,0.58,0.57,0.63,0.68,0.75,0.49,0.54,0.53,0.7,0.49,0.69,0.61,0.94
