,jmoney.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jmonkeyengine.csv,e-bio-flow.csv,matrex.csv,reaper3d.csv
dxengine.csv,0.46,0.04,0.67,0.71,0.86,0.91,0.91,0.87,0.55
e-bio-flow.csv,1.0,0.93,0.75,0.61,0.64,0.94,0.03,0.9,1.0
jmoney.csv,0.05,0.93,0.87,0.64,0.93,0.94,0.85,0.86,0.88
jmonkeyengine.csv,0.76,0.78,0.85,0.56,0.79,0.0,0.82,0.93,1.01
jsidplay2.csv,0.63,0.95,0.02,0.87,0.89,0.83,0.62,0.65,0.62
matrex.csv,0.35,0.87,0.56,0.74,0.52,0.89,0.83,0.03,0.75
piccolo2d.csv,0.65,1.0,0.9,0.91,0.0,0.83,0.9,1.0,1.0
reaper3d.csv,0.96,1.0,0.98,0.6,1.03,0.84,0.89,0.94,0.12
sblim.csv,1.0,0.96,0.93,0.0,0.77,0.95,0.94,0.93,1.0
