,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,bigdata.csv,wsmt.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.48,0.46,0.57,0.83,0.86,0.93,0.53,0.91,0.67,0.52,0.62,0.62,0.48,0.67,0.88,0.77,0.5,0.68,0.73,0.43
apertium.csv,0.5,0.54,0.56,0.61,0.47,0.52,0.65,0.53,0.56,0.52,0.78,0.88,0.51,0.35,0.8,0.52,0.77,0.86,0.83,0.44
beast-mcmc.csv,0.69,0.7,0.5,0.67,0.75,0.79,0.54,0.56,0.55,0.68,0.41,0.89,0.55,0.42,0.88,0.53,0.41,0.75,0.76,0.8
bigdata.csv,0.71,0.9,0.62,0.44,0.46,0.48,0.62,0.86,0.52,0.44,0.86,0.9,0.56,0.67,0.65,0.43,0.65,0.9,0.46,0.83
cuberok.csv,0.51,0.56,0.53,0.52,0.51,0.6,0.49,0.62,0.51,0.6,0.75,0.53,0.58,0.47,0.62,0.49,0.56,0.96,0.65,0.37
exist.csv,0.62,0.56,0.84,0.94,0.57,0.92,0.53,0.39,0.61,0.55,0.62,0.47,0.44,0.46,0.64,0.73,0.56,0.74,0.5,0.38
icescrum.csv,0.8,0.92,0.57,0.94,0.7,0.88,0.63,0.0,0.73,0.51,0.71,0.0,0.78,0.39,0.0,0.66,0.53,0.5,0.75,0.58
jbasic.csv,0.87,0.75,0.68,0.95,0.92,0.88,0.75,0.47,0.86,0.57,0.89,0.92,0.94,0.96,0.0,0.77,0.86,0.62,0.69,0.88
jgnash.csv,0.74,0.93,0.7,0.78,0.91,0.54,0.6,0.0,0.95,0.93,0.63,0.91,0.58,0.93,0.91,0.6,0.8,0.91,0.93,0.35
jrefactory.csv,0.77,0.96,0.55,0.79,0.58,0.51,0.67,0.86,0.52,0.81,0.92,0.8,0.65,0.6,0.83,0.54,0.69,0.83,0.8,0.62
jsecurity.csv,0.81,0.93,0.78,0.82,0.73,0.79,0.69,0.55,0.6,0.71,0.9,0.89,0.81,0.54,0.55,0.68,0.65,0.76,0.89,0.71
libopenmetaverse.csv,0.36,0.44,0.4,0.49,0.5,0.53,0.4,0.43,0.46,0.43,0.46,0.42,0.45,0.36,0.35,0.46,0.39,0.51,0.5,0.46
mobicents.csv,0.56,0.61,0.45,0.66,0.55,0.5,0.52,0.71,0.64,0.46,0.74,0.88,0.53,0.48,0.86,0.54,0.45,0.62,0.75,0.67
mp-rechnungs-und-kundenverwaltung.csv,0.7,0.95,0.67,0.75,0.76,0.7,0.67,0.86,0.96,0.68,0.74,0.73,0.63,0.67,0.89,0.73,0.5,0.87,0.75,0.73
opendvr.csv,0.48,0.73,0.62,0.75,0.68,0.5,0.67,0.57,0.72,0.58,0.64,0.93,0.82,0.54,0.68,0.75,0.5,0.66,0.84,0.46
openefm.csv,0.44,0.65,0.44,0.64,0.53,0.45,0.6,0.65,0.55,0.55,0.6,0.89,0.5,0.41,0.7,0.59,0.5,0.87,0.88,0.38
sidekar.csv,0.45,0.55,0.47,0.48,0.5,0.52,0.5,0.41,0.41,0.5,0.59,0.8,0.54,0.37,0.69,0.49,0.36,0.49,0.59,0.41
wheat.csv,0.6,0.73,0.76,0.67,0.71,0.69,0.71,0.45,0.72,0.88,0.74,0.71,0.66,0.85,0.5,0.72,0.56,0.7,0.9,0.59
wsmt.csv,0.94,0.88,0.96,0.97,0.92,0.9,0.9,0.89,0.98,0.94,0.83,0.74,0.85,0.94,0.9,0.98,0.59,0.75,0.72,0.67
yarp0.csv,0.43,0.69,0.59,0.69,0.76,0.84,0.51,0.83,0.8,0.53,0.58,0.69,0.55,0.49,0.88,0.57,0.44,0.58,0.5,0.75
