,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.33,0.6,0.37,0.39,0.46,0.63,0.43,0.82,0.54,0.79,0.57,0.79,0.9,0.62,0.53,0.63
autat.csv,0.82,1.0,0.61,1.0,0.85,0.68,0.49,0.42,0.45,0.81,0.83,1.17,0.56,0.55,0.71,1.0
biopax.csv,0.32,1.0,0.77,0.83,0.6,0.61,0.69,0.94,1.0,1.0,0.77,0.9,0.26,0.85,0.9,0.88
exl.csv,0.79,0.69,0.95,0.69,0.48,0.78,0.71,0.91,0.58,0.7,0.77,0.76,0.82,0.38,0.74,0.78
fceugc.csv,0.45,0.5,0.75,0.66,0.76,0.42,0.53,0.68,0.95,0.81,0.61,0.85,0.71,0.59,0.88,0.86
fido.csv,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.82,0.13,0.96,1.0,0.75,1.0,0.85,0.57
gretl.csv,0.76,0.75,0.53,0.52,0.47,0.79,0.87,0.7,0.5,0.86,0.55,0.34,0.76,0.69,0.56,0.57
jasperreports.csv,0.98,0.48,0.99,1.0,0.73,0.86,0.84,0.99,0.14,0.78,0.99,0.97,0.97,0.64,0.83,1.0
jmule.csv,0.21,0.73,0.28,0.56,0.44,0.55,0.54,0.6,0.33,0.64,0.5,0.55,0.4,0.47,0.32,0.21
moast.csv,0.87,1.0,0.72,1.0,1.0,1.0,1.0,0.76,0.67,0.99,0.84,0.05,0.55,1.0,0.95,0.72
ng4j.csv,0.5,0.86,0.27,0.66,0.62,0.5,0.51,0.79,0.47,0.42,0.58,0.79,0.51,0.37,0.34,0.3
olap-navigator.csv,0.17,0.44,0.34,0.65,0.54,0.56,0.41,0.65,0.31,0.79,0.56,0.83,0.56,0.47,0.64,0.77
passwordsafe.csv,0.64,0.79,0.3,0.46,0.62,0.69,0.41,0.83,0.56,0.45,0.41,0.52,0.39,0.69,0.48,1.0
phonon-vlc-mplayer.csv,0.54,0.53,0.26,0.48,0.45,0.59,0.41,0.66,0.51,0.55,0.54,0.28,0.48,0.57,0.53,0.96
sepgsql.csv,0.43,0.36,0.39,0.36,0.56,0.65,0.36,0.58,0.34,0.53,0.47,0.28,0.59,0.42,0.48,0.92
unflobtactical.csv,0.51,0.41,0.24,0.48,0.6,0.62,0.45,0.72,0.92,0.89,0.45,0.76,0.4,0.63,0.66,0.99
