,owlib.csv,xharbour.csv,prelude.csv,graphmak.csv,octave.csv,checker-framework.csv,zengine.csv,zildo.csv,opengs.csv,tokratan.csv,jmol.csv,minig.csv,moving-pictures.csv,zabbix.csv,xfce.csv,ngl.csv,mesa3d.csv,nunit.csv,elvishrayrenderer.csv
checker-framework.csv,0.42,0.41,0.77,0.41,0.4,0.52,0.43,0.41,0.38,0.41,0.37,0.43,0.3,0.36,0.47,0.46,0.47,0.43,0.4
elvishrayrenderer.csv,0.7,0.49,0.49,0.33,0.55,0.42,0.46,0.33,0.36,0.49,0.34,0.54,0.33,0.94,0.5,0.76,0.67,0.57,0.44
graphmak.csv,0.46,0.94,0.6,0.57,0.49,0.75,0.95,0.46,0.45,0.55,0.43,0.52,0.3,0.44,0.9,0.49,0.76,0.96,0.49
jmol.csv,0.39,0.39,0.42,0.39,0.47,0.61,0.43,0.4,0.47,0.45,0.41,0.38,0.56,0.7,0.46,0.45,0.45,0.43,0.33
mesa3d.csv,0.8,0.32,0.83,0.91,0.54,0.76,0.5,0.51,0.57,0.52,0.54,0.46,0.57,0.6,0.37,0.46,0.48,0.71,0.37
minig.csv,0.56,0.87,0.52,0.5,0.59,0.78,0.51,0.5,0.5,0.57,0.34,0.45,0.31,0.68,0.89,0.68,0.97,0.89,0.58
moving-pictures.csv,0.73,0.3,0.0,0.63,0.5,0.82,0.62,0.46,0.44,0.5,0.92,0.6,0.45,0.89,0.83,0.42,0.83,0.57,0.39
ngl.csv,0.46,0.39,0.5,0.36,0.51,0.56,0.45,0.41,0.36,0.47,0.34,0.34,0.32,0.38,0.96,0.48,0.97,0.41,0.36
nunit.csv,0.58,0.43,0.61,0.52,0.76,0.61,0.59,0.41,0.51,0.88,0.46,0.58,0.36,0.97,0.95,0.78,0.97,0.64,0.76
octave.csv,0.65,0.66,0.69,0.92,0.61,0.84,0.48,0.72,0.38,0.94,0.61,0.45,0.48,0.95,0.98,0.8,0.97,0.46,0.73
opengs.csv,0.75,0.36,0.67,0.6,0.9,0.8,0.58,0.69,0.59,0.81,0.94,0.58,0.63,0.54,0.45,0.98,0.51,0.56,0.53
owlib.csv,0.37,0.28,0.37,0.28,0.36,0.35,0.33,0.33,0.33,0.43,0.33,0.35,0.25,0.33,0.35,0.38,0.36,0.37,0.26
prelude.csv,0.4,0.38,0.46,0.39,0.38,0.5,0.38,0.38,0.36,0.45,0.33,0.36,0.3,0.33,0.43,0.43,0.4,0.35,0.33
tokratan.csv,0.51,0.36,0.71,0.47,0.92,0.47,0.53,0.39,0.92,0.68,0.49,0.62,0.45,0.69,0.42,0.5,0.43,0.56,0.36
xfce.csv,0.43,0.43,0.75,0.36,0.55,0.59,0.44,0.4,0.38,0.58,0.44,0.37,0.36,0.37,0.41,0.46,0.43,0.44,0.41
xharbour.csv,0.4,0.36,0.7,0.41,0.52,0.64,0.48,0.4,0.36,0.41,0.33,0.36,0.43,0.39,0.47,0.47,0.46,0.41,0.38
zabbix.csv,0.55,0.38,0.53,0.53,0.61,0.57,0.5,0.45,0.56,0.61,0.87,0.49,0.8,0.81,0.42,0.49,0.45,0.57,0.36
zengine.csv,0.4,0.33,0.42,0.38,0.38,0.59,0.42,0.38,0.37,0.41,0.34,0.36,0.3,0.36,0.4,0.45,0.41,0.38,0.37
zildo.csv,0.37,0.38,0.5,0.41,0.65,0.42,0.65,0.42,0.88,0.74,0.43,0.78,0.67,0.43,0.4,0.56,0.41,0.63,0.33
