,owlib.csv,xharbour.csv,prelude.csv,graphmak.csv,octave.csv,checker-framework.csv,zengine.csv,zildo.csv,opengs.csv,tokratan.csv,jmol.csv,minig.csv,moving-pictures.csv,zabbix.csv,xfce.csv,ngl.csv,mesa3d.csv,nunit.csv,elvishrayrenderer.csv
checker-framework.csv,0.94,0.84,0.18,0.96,0.94,0.23,0.92,0.8,0.81,0.91,0.96,0.75,0.97,0.98,0.86,0.91,0.84,0.78,0.89
elvishrayrenderer.csv,0.3,0.74,1.0,0.5,0.52,0.34,0.42,0.52,0.55,0.42,0.78,0.34,0.87,0.09,0.88,0.42,0.42,0.28,0.11
graphmak.csv,0.85,0.05,1.0,0.22,0.79,0.05,0.42,0.41,0.57,0.6,0.78,0.67,0.97,0.81,0.31,0.76,0.51,0.13,0.83
jmol.csv,0.78,1.0,0.36,0.98,0.56,0.79,1.0,0.95,0.74,0.92,0.48,0.86,0.45,0.11,1.0,0.81,1.0,0.84,0.61
mesa3d.csv,0.27,0.37,0.0,0.11,0.35,0.55,0.0,0.45,0.39,0.4,0.3,0.42,0.32,0.45,0.43,0.44,0.3,0.21,0.56
minig.csv,0.66,0.68,1.0,0.04,0.7,0.36,1.0,0.0,0.01,0.32,1.0,0.29,1.0,0.49,0.71,0.79,0.46,0.05,0.72
moving-pictures.csv,0.11,0.26,0.0,0.2,0.25,0.3,0.0,0.82,0.6,0.78,0.17,0.47,0.32,0.06,0.0,0.28,0.02,0.51,0.44
ngl.csv,0.74,1.0,1.0,0.57,0.65,0.82,0.92,0.68,0.73,0.6,0.91,0.71,0.77,0.95,0.04,0.32,0.08,0.57,0.72
nunit.csv,0.48,0.58,0.64,0.35,0.43,0.41,0.75,0.68,0.44,0.19,0.65,0.38,0.74,0.12,0.08,0.51,0.08,0.26,0.44
octave.csv,0.46,0.42,0.09,0.22,0.23,0.48,0.42,0.48,0.87,0.13,0.43,0.52,0.45,0.12,0.17,0.27,0.09,0.66,0.28
opengs.csv,0.27,0.37,0.0,0.39,0.08,0.07,0.17,0.39,0.25,0.2,0.17,0.59,0.26,0.45,0.4,0.06,0.54,0.45,0.22
owlib.csv,0.36,0.58,0.0,0.5,0.5,0.25,0.33,0.43,0.65,0.35,0.52,0.38,0.84,0.62,0.29,0.34,0.37,0.52,0.56
prelude.csv,1.0,1.0,0.18,1.0,0.86,0.75,0.5,0.98,0.88,0.86,0.91,0.78,0.94,0.94,0.68,0.88,0.73,0.89,0.78
tokratan.csv,0.5,0.74,0.0,0.85,0.11,0.16,0.42,0.52,0.03,0.22,0.35,0.39,0.35,0.11,0.47,0.43,0.72,0.39,0.44
xfce.csv,0.53,0.63,0.0,0.7,0.4,0.36,0.5,0.64,0.73,0.34,0.65,0.65,0.61,0.93,0.4,0.49,0.62,0.49,0.78
xharbour.csv,0.99,0.11,0.45,0.76,0.47,0.62,0.75,0.68,1.0,0.9,1.0,0.84,0.45,0.93,0.68,0.8,0.92,0.8,0.5
zabbix.csv,0.38,0.21,0.09,0.5,0.38,0.54,0.0,0.82,0.44,0.47,0.26,0.61,0.26,0.11,0.42,0.7,0.59,0.61,0.67
zengine.csv,0.98,0.42,0.45,0.96,0.98,0.84,0.0,0.93,0.86,0.98,0.87,0.92,0.97,0.86,0.55,0.9,0.48,0.91,0.94
zildo.csv,0.71,1.0,0.09,0.89,0.26,0.29,0.17,0.23,0.06,0.21,0.43,0.2,0.23,0.52,0.38,0.15,0.55,0.28,0.72
