,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.58,0.85,0.99,0.05,0.57
mediaportal.csv,0.57,0.32,0.43,0.89,0.31
poormans.csv,0.72,0.4,0.32,0.43,0.98
smartgwt.csv,0.5,0.93,0.29,0.63,0.43
sqlpower-library.csv,0.99,0.46,0.48,0.64,0.42
