,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.53,0.36,0.06,0.99,0.77
mediaportal.csv,0.65,0.63,0.78,0.02,0.72
poormans.csv,0.53,0.02,0.17,0.86,0.0
smartgwt.csv,0.18,0.01,0.22,0.33,0.15
sqlpower-library.csv,0.06,0.59,0.72,0.53,0.66
