,freelords.csv,gpsmid.csv,empserver.csv,unbvision.csv,n2cms.csv,twostep.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
empserver.csv,0.0,0.45,0.58,0.55,0.58,0.17,0.16,0.37,0.7
freelords.csv,0.66,0.74,0.54,0.58,0.7,0.74,0.6,0.73,0.66
gpsmid.csv,0.48,0.79,0.0,0.44,0.53,0.7,0.61,0.66,0.56
magicwars.csv,0.66,0.69,0.0,0.0,0.33,0.0,0.68,0.35,0.48
n2cms.csv,0.68,0.63,0.59,0.52,0.75,0.74,0.43,0.7,0.62
turbotrader-bos.csv,0.19,0.56,0.32,0.54,0.37,0.71,0.33,0.71,0.64
twostep.csv,0.58,0.71,0.6,0.61,0.46,0.86,0.3,0.63,0.51
unbvision.csv,0.54,0.61,0.47,0.76,0.36,0.4,0.33,0.56,0.3
xmemcached.csv,0.58,0.64,0.13,0.38,0.62,0.09,0.57,0.05,0.71
