,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.33,0.36,0.0,0.35,0.09,0.54,0.61,0.77,0.23,0.21,0.46,0.1,0.2,0.14,0.63,0.2,0.21
blogentis.csv,0.8,0.53,0.92,0.44,1.0,0.32,0.29,0.1,0.9,0.65,0.78,0.68,0.77,0.7,0.01,0.93,0.67
bochs.csv,0.99,0.87,0.42,0.4,0.09,0.62,0.35,0.98,0.37,0.44,0.97,0.83,0.53,0.64,0.5,1.0,0.33
galaxium.csv,0.3,0.73,0.25,0.36,0.09,0.11,0.33,0.02,0.14,0.73,0.3,0.25,0.77,0.14,0.14,0.53,0.44
gisgraphy.csv,0.14,0.4,0.08,0.19,0.09,0.33,0.28,0.99,0.43,0.08,0.86,0.35,0.27,0.22,0.28,0.53,0.17
haphazard.csv,0.79,0.99,0.17,0.54,0.09,0.31,0.16,0.04,0.15,0.21,0.08,0.28,0.8,0.41,0.0,0.2,0.27
ipfire-wall.csv,0.65,0.04,0.5,0.26,0.0,0.21,0.75,0.03,0.41,0.88,0.27,0.38,0.7,0.13,0.32,0.4,0.85
jmri.csv,0.06,0.78,0.0,0.3,0.0,0.42,0.78,0.77,0.12,0.4,0.86,0.2,0.37,0.22,0.35,0.33,0.29
jvcl.csv,0.0,0.28,0.08,0.16,0.0,0.08,0.49,0.26,0.09,0.08,0.19,0.07,0.23,0.0,0.44,0.07,0.23
kaffeine.csv,0.46,0.98,0.5,0.45,0.09,0.43,0.67,0.52,0.36,0.73,0.86,0.63,0.9,0.29,0.38,0.87,0.67
m-a-d-n-e-s-s.csv,0.99,0.55,0.08,0.15,0.09,0.1,0.35,0.02,0.02,0.42,0.08,0.22,0.43,0.11,0.23,0.2,0.23
magicwars.csv,1.0,0.83,1.0,0.93,1.0,0.92,0.93,0.08,1.0,0.96,1.0,0.98,1.0,0.84,0.74,1.0,0.9
nh3d.csv,0.01,0.0,1.0,0.15,1.0,1.0,1.0,0.99,0.51,1.0,1.0,0.98,1.0,0.99,0.99,1.0,1.0
opentibia.csv,0.28,0.22,0.25,0.32,0.0,0.6,0.16,0.78,0.45,0.15,0.84,0.4,0.37,0.33,0.34,0.4,0.42
sarasvati.csv,0.5,0.69,0.33,0.45,0.0,0.29,0.42,0.23,0.08,0.58,0.3,0.1,0.37,0.48,0.29,0.2,0.58
smartgwt.csv,0.32,0.57,0.42,0.75,0.18,0.5,0.46,0.74,0.55,0.65,0.7,0.52,0.67,0.59,0.27,0.73,0.79
tweetsharp.csv,0.01,0.11,0.33,0.69,0.0,0.71,0.57,0.97,0.32,0.48,0.78,0.35,0.2,0.41,0.68,0.33,0.52
