,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.05,0.19,0.45,0.52,0.15,0.13,0.22,0.4,0.59,0.22,0.37,0.23,0.74,0.16,0.13,0.62,0.51
blogentis.csv,0.02,0.18,0.79,0.45,0.85,0.18,0.58,0.53,0.52,0.32,0.32,0.19,0.34,0.46,0.26,0.73,0.34
bochs.csv,0.02,0.17,0.89,0.57,0.85,0.17,0.37,0.38,0.67,0.33,0.5,0.45,0.46,0.47,0.33,0.82,0.59
galaxium.csv,0.02,0.21,0.58,0.45,0.57,0.25,0.41,0.38,0.4,0.35,0.55,0.57,0.48,0.75,0.64,0.53,0.41
gisgraphy.csv,0.04,0.22,0.68,0.5,0.72,0.15,0.44,0.45,0.47,0.11,0.36,0.26,0.39,0.36,0.13,0.73,0.7
haphazard.csv,0.01,0.18,0.44,0.51,0.67,0.1,0.37,0.33,0.23,0.45,0.25,0.35,0.5,0.31,0.02,0.39,0.16
ipfire-wall.csv,0.03,0.0,0.54,0.37,0.37,0.04,0.42,0.25,0.48,0.31,0.67,0.43,0.47,0.26,0.44,0.61,0.3
jmri.csv,0.08,0.2,0.32,0.65,0.31,0.14,0.44,0.41,0.35,0.26,0.46,0.36,0.4,0.23,0.28,0.58,0.5
jvcl.csv,0.57,0.28,0.35,0.52,0.37,0.16,0.43,0.32,0.43,0.0,0.44,0.43,0.44,0.0,0.31,0.46,0.26
kaffeine.csv,0.01,0.19,0.83,0.54,0.9,0.18,0.46,0.46,0.53,0.33,0.53,0.52,0.43,0.59,0.57,0.72,0.43
m-a-d-n-e-s-s.csv,0.02,0.17,0.25,0.33,0.18,0.2,0.43,0.32,0.18,0.37,0.44,0.62,0.42,0.45,0.55,0.24,0.22
magicwars.csv,0.02,0.19,0.93,0.64,0.9,0.13,0.41,0.71,0.59,0.34,0.47,0.46,0.58,0.47,0.42,0.85,0.45
nh3d.csv,0.8,0.0,0.93,0.39,0.9,0.12,0.41,0.46,0.6,0.33,0.49,0.46,0.58,0.45,0.38,0.85,0.48
opentibia.csv,0.06,0.04,0.85,0.46,0.49,0.14,0.29,0.4,0.35,0.25,0.44,0.15,0.48,0.32,0.11,0.75,0.5
sarasvati.csv,0.02,0.1,0.59,0.4,0.25,0.27,0.2,0.44,0.31,0.31,0.47,0.45,0.36,0.55,0.54,0.27,0.39
smartgwt.csv,0.02,0.19,0.67,0.57,0.77,0.11,0.38,0.41,0.56,0.29,0.51,0.53,0.56,0.42,0.63,0.78,0.46
tweetsharp.csv,0.25,0.17,0.65,0.55,0.44,0.12,0.23,0.42,0.6,0.19,0.38,0.39,0.54,0.33,0.12,0.81,0.48
