,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.98,1.0,0.28,0.88,1.0,0.56,0.6,0.0,0.98,1.0,0.97
cubefs.csv,0.24,1.0,1.0,0.7,0.79,0.67,0.65,0.38,0.36,0.2,1.0
iaml.csv,0.19,0.16,0.39,0.15,0.17,0.29,0.29,0.09,0.31,0.6,0.15
ivataopenportal.csv,0.66,1.0,0.81,0.9,0.92,0.31,0.9,1.0,0.75,0.93,1.0
mb-unit.csv,0.95,0.0,0.48,0.45,1.0,0.86,0.45,0.03,0.63,0.53,0.21
mvdsv.csv,0.01,0.32,0.0,0.05,0.03,0.01,0.07,0.06,0.07,0.0,0.01
nova.csv,0.41,0.25,0.61,0.44,0.73,0.31,0.59,0.53,0.76,0.27,0.79
olex2.csv,0.81,0.32,0.38,0.48,0.35,0.97,0.49,0.38,0.25,0.4,0.27
openwbem.csv,0.26,0.11,0.25,0.42,0.33,0.82,0.21,0.76,0.47,0.13,0.51
xcmetadataservicestoolkit.csv,0.33,0.8,0.71,0.35,0.78,0.78,0.9,0.06,0.86,0.33,0.55
