,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.49,0.42,0.55,0.46,0.38,0.47,0.47,0.88,0.36,0.36,0.34
cubefs.csv,0.92,0.42,0.45,0.47,0.42,0.57,0.51,0.5,0.62,0.44,0.34
iaml.csv,0.99,0.89,0.72,0.99,0.8,0.52,0.6,0.89,0.72,0.52,0.96
ivataopenportal.csv,0.45,0.42,0.46,0.41,0.34,0.54,0.41,0.41,0.41,0.35,0.34
mb-unit.csv,0.49,0.0,0.63,0.46,0.38,0.41,0.49,0.91,0.39,0.35,0.61
mvdsv.csv,0.89,0.65,0.0,0.98,0.88,0.5,0.94,0.86,0.75,0.86,0.83
nova.csv,0.62,0.59,0.61,0.5,0.54,0.66,0.48,0.47,0.41,0.63,0.42
olex2.csv,0.53,0.52,0.63,0.5,0.46,0.44,0.61,0.55,0.67,0.42,0.48
openwbem.csv,0.46,0.8,0.57,0.6,0.44,0.53,0.69,0.41,0.41,0.55,0.43
xcmetadataservicestoolkit.csv,0.83,0.47,0.57,0.63,0.38,0.48,0.42,0.94,0.35,0.39,0.43
