,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.41,0.22,0.08,0.15,0.89,0.6,0.66,0.5,1.0,1.0,0.59,1.0,0.78
grafx2.csv,0.5,0.21,0.1,0.28,0.89,0.52,0.73,0.38,0.85,0.87,0.56,0.53,0.57
jahshakafx.csv,0.58,0.25,0.11,0.24,0.94,0.46,0.75,0.64,0.83,0.92,0.54,0.45,0.68
kftpgrabber.csv,0.56,0.28,0.0,0.14,0.89,0.37,0.86,0.54,0.89,1.0,0.6,0.4,0.73
kindb.csv,0.53,0.2,0.07,0.21,0.88,0.43,0.81,0.5,0.77,0.9,0.39,0.75,0.63
maya-work-in-progress.csv,0.38,0.19,0.11,0.3,0.85,0.37,0.77,0.36,0.63,0.82,0.46,0.36,0.59
netatalk.csv,0.36,0.12,0.06,0.13,0.84,0.37,0.42,0.31,0.61,0.77,0.33,0.5,0.5
nullc.csv,0.33,0.12,0.06,0.15,1.0,0.45,0.83,0.5,0.79,0.89,0.4,0.25,0.61
plee-the-bear.csv,0.55,0.21,0.17,0.17,0.82,0.27,0.87,0.32,0.53,0.66,0.41,0.28,0.49
reaper-ecad.csv,0.66,0.25,0.0,0.27,1.0,0.61,1.0,0.0,0.0,1.0,0.42,0.67,1.0
unimrcp.csv,0.39,0.15,0.11,0.2,0.94,0.48,0.78,0.5,0.88,0.93,0.47,0.54,0.77
unladen-swallow.csv,0.54,0.23,0.16,0.2,0.86,0.39,0.75,0.46,0.8,0.82,0.53,0.43,0.58
xmoto.csv,0.46,0.18,0.1,0.33,0.88,0.46,0.54,0.27,0.75,0.72,0.53,0.25,0.74
