,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.85,0.57,0.79,1.0,0.16,0.68,0.72,0.11,0.14,0.15,0.57,0.14,0.5
grafx2.csv,0.87,0.73,0.64,0.71,0.32,0.71,0.59,0.78,0.77,0.76,0.63,0.71,0.64
jahshakafx.csv,0.85,0.62,0.82,0.67,0.34,0.84,0.47,0.33,0.47,0.68,0.67,0.71,0.47
kftpgrabber.csv,0.72,0.26,0.0,0.04,0.5,0.59,0.19,0.74,0.37,0.21,0.87,0.57,0.31
kindb.csv,0.86,0.71,0.88,0.79,0.44,0.77,0.53,0.56,0.47,0.79,0.73,0.21,0.61
maya-work-in-progress.csv,0.94,0.63,0.79,0.46,0.9,0.8,0.84,0.96,0.98,0.94,0.7,1.0,0.75
netatalk.csv,0.77,0.94,0.85,1.0,0.42,0.75,0.78,0.37,0.72,0.79,0.6,0.79,0.53
nullc.csv,0.73,0.97,1.0,1.0,0.68,0.61,0.16,0.37,0.6,0.5,0.87,0.21,0.47
plee-the-bear.csv,0.82,0.4,0.76,0.04,0.54,0.63,0.62,0.59,0.72,0.56,0.47,0.64,0.5
reaper-ecad.csv,0.3,0.11,0.0,0.58,0.18,0.16,0.03,0.0,0.0,0.06,0.17,0.14,0.14
unimrcp.csv,0.92,0.79,0.7,0.92,0.6,0.71,0.66,0.7,0.53,0.74,0.77,0.5,0.64
unladen-swallow.csv,0.24,0.45,0.55,0.08,0.24,0.46,0.38,0.78,0.47,0.53,0.6,0.71,0.19
xmoto.csv,0.64,0.64,0.58,0.08,0.56,0.62,0.47,0.26,0.56,0.91,0.57,0.93,0.78
