,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,kmess.csv,rocrail.csv
kmess.csv,0.88,0.39,0.3,0.8,0.0,0.34
minig.csv,0.15,0.41,0.03,0.75,0.44,0.36
ossbuild.csv,0.3,0.13,0.41,0.0,0.35,0.11
rezilla.csv,0.02,0.65,0.51,0.24,0.4,0.91
rocrail.csv,0.05,0.04,0.03,0.06,0.05,0.01
webdriver.csv,0.12,0.0,0.22,0.62,0.13,0.15
