,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.54,0.6,0.94,0.67,0.67,1.0,0.15,0.35,0.57,0.69,0.26,0.3,0.46,0.29,0.62,0.37
arsenal-1.csv,0.65,0.57,0.08,0.96,0.67,0.67,0.23,0.04,0.27,0.73,0.5,0.18,0.37,0.27,0.34,0.63
bnetd.csv,0.81,0.76,0.6,0.74,1.0,1.0,0.95,0.46,0.65,0.65,0.4,0.15,0.48,0.56,0.49,0.53
cascading.csv,0.62,0.64,0.62,0.7,0.33,1.0,0.67,0.65,0.99,0.69,0.08,0.64,0.61,0.63,0.75,0.67
fm-classic.csv,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
free-evolution.csv,0.27,0.43,0.67,0.52,1.0,0.0,0.59,0.27,0.12,0.15,0.71,0.91,0.39,0.52,0.12,0.2
gnome-jabber.csv,0.62,0.48,0.9,0.04,1.0,1.0,0.97,0.62,0.74,0.58,1.0,0.61,0.74,0.79,0.79,0.67
guineu.csv,0.88,0.12,0.1,0.04,1.0,0.0,0.05,0.15,0.24,0.19,0.1,0.09,0.02,0.11,0.06,0.07
ipfilter.csv,0.65,0.98,0.6,1.0,0.67,1.0,0.36,0.85,0.97,0.88,0.83,0.55,1.0,0.86,0.96,0.83
jruby.csv,0.42,0.67,0.19,0.78,1.0,0.0,0.44,0.35,0.76,0.19,0.53,0.67,0.76,0.44,1.0,0.67
l2j.csv,0.62,0.71,0.4,0.56,1.0,0.67,0.46,0.54,0.78,0.88,0.79,0.76,0.93,0.99,0.58,0.5
libmesh.csv,0.27,0.14,0.44,0.63,0.67,0.0,0.33,0.92,0.34,0.12,0.02,0.18,0.09,0.31,0.25,0.33
mvdsv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
stajistics.csv,0.38,0.31,0.44,0.44,0.0,0.67,0.23,0.15,0.26,0.69,0.07,0.42,0.41,0.23,0.28,1.0
twostep.csv,0.77,0.71,0.92,0.85,1.0,0.33,1.0,0.92,0.68,0.92,0.55,0.88,0.78,0.5,0.55,0.77
x4x.csv,0.77,0.95,0.63,0.56,1.0,1.0,0.74,0.35,0.91,0.81,0.76,0.73,0.87,0.92,0.93,0.9
