,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.0,0.24,0.21,0.24,0.2,0.13,0.03,0.36,0.24,0.45,0.18,0.05,0.14
emono.csv,0.56,0.83,0.36,0.71,0.59,0.77,0.43,0.7,0.61,0.82,0.73,0.88,0.02
freedom-erp.csv,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.02,0.0,0.0
haggle.csv,0.24,0.28,0.35,0.45,0.05,0.2,0.8,0.04,0.23,0.27,0.45,0.37,0.29
jbpm.csv,0.02,0.0,0.05,0.06,0.27,0.23,0.05,0.09,0.04,0.03,0.02,0.09,0.02
jgossipforum.csv,0.02,0.0,0.01,0.03,0.07,0.0,0.02,0.0,0.0,0.0,0.02,0.07,0.02
joustsim.csv,0.32,0.07,0.21,0.23,0.34,0.13,0.17,0.21,0.11,0.0,0.43,0.51,0.4
log4net.csv,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.57,0.02,0.02,0.06,0.0,0.03,0.02,0.01,0.0,0.03,0.0,0.0,0.02
mediate.csv,0.49,0.4,0.49,0.23,0.37,0.0,0.43,0.67,0.32,0.38,0.65,0.56,0.4
pustefix.csv,0.65,0.48,0.7,0.0,0.12,0.2,0.23,0.67,0.67,0.13,0.33,0.16,0.4
synecdoche.csv,0.43,0.23,0.23,0.18,0.22,0.47,0.27,0.46,0.41,0.32,0.31,0.0,0.48
tmva.csv,0.48,0.77,0.6,0.52,0.41,0.7,0.0,0.69,0.72,0.77,0.63,0.49,0.5
