,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,0.35,0.5,0.63,0.55,0.47,0.73,0.52,0.71,0.47,0.0,0.54,0.54,0.8,0.73,0.34,0.62,0.57,0.49
fbmanager.csv,1.14,0.57,0.85,0.06,0.82,0.61,0.53,0.42,0.79,0.63,0.59,0.58,0.45,0.7,0.59,0.67,0.63,0.57
freenet.csv,0.49,0.83,0.8,0.76,0.78,1.0,0.01,0.67,0.88,0.68,0.84,0.56,0.46,0.99,0.65,0.7,0.58,0.59
geogebra.csv,1.07,0.75,0.79,0.92,0.78,0.91,0.89,0.77,0.76,0.74,0.67,0.58,0.83,1.0,0.74,0.95,0.87,0.08
google-caja.csv,0.72,0.54,0.72,0.48,0.47,0.71,0.65,0.51,0.52,0.53,0.04,0.56,0.32,0.63,0.54,0.57,0.6,0.49
hibernate.csv,0.24,0.67,0.59,0.85,0.76,0.81,0.64,0.49,0.67,0.39,0.63,0.78,0.79,0.75,0.58,1.01,0.04,0.7
illumination.csv,1.01,0.79,0.74,0.7,0.5,0.8,0.56,0.94,0.58,0.78,0.8,0.81,0.6,0.73,0.75,0.06,0.81,0.65
kindb.csv,0.55,0.47,0.61,0.47,0.67,0.69,0.57,0.66,0.46,0.55,0.48,0.69,0.03,0.67,0.45,0.63,0.57,0.41
officefloor.csv,1.0,0.82,0.79,0.78,0.86,0.69,0.89,0.91,0.11,0.91,0.81,0.83,0.87,0.73,1.0,1.0,0.9,0.8
paintown.csv,0.56,0.02,0.64,0.66,0.64,0.45,0.67,0.56,0.54,0.48,0.65,0.63,0.39,0.6,0.46,0.8,0.55,0.56
poormans.csv,0.38,0.62,0.8,0.78,0.47,0.85,0.63,0.79,0.65,0.7,0.81,0.72,0.7,0.74,0.0,0.68,0.66,0.6
qlc.csv,1.0,0.82,0.88,0.83,1.0,0.87,0.94,0.11,1.0,0.96,0.95,1.0,1.0,0.93,1.0,1.0,0.98,0.9
repositorium.csv,0.38,0.77,0.9,0.77,0.78,0.71,0.64,0.96,0.43,0.6,0.72,0.51,0.9,0.09,0.51,0.7,0.59,0.83
sevenupdate.csv,0.67,0.95,0.74,0.77,0.85,0.0,0.65,0.88,0.99,0.68,0.7,0.95,0.97,0.99,0.83,0.87,0.86,0.71
sqlpower-library.csv,0.83,0.87,0.96,0.88,0.12,1.0,0.87,0.86,0.77,0.73,0.67,0.92,0.57,0.98,0.83,0.96,0.81,0.72
triplea.csv,1.16,0.52,0.05,0.47,0.51,0.72,0.62,0.68,0.62,0.57,0.45,0.73,0.72,0.82,0.67,0.56,0.63,0.49
yarp0.csv,1.07,0.83,0.76,0.72,0.65,0.83,0.54,0.91,0.78,0.71,0.68,0.0,0.49,0.68,0.72,0.79,0.64,0.65
