,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,0.9,0.57,0.52,0.56,0.59,0.39,0.63,0.42,0.64,1.0,0.55,0.58,0.5,0.4,0.73,0.54,0.53,0.61
fbmanager.csv,0.0,0.51,0.19,0.95,0.26,0.52,0.6,0.68,0.54,0.42,0.52,0.53,0.68,0.47,0.6,0.45,0.53,0.53
freenet.csv,0.84,0.44,0.53,0.56,0.56,0.0,0.99,0.47,0.41,0.62,0.48,0.68,0.71,0.11,0.68,0.58,0.63,0.64
geogebra.csv,0.0,0.29,0.29,0.11,0.56,0.27,0.41,0.32,0.3,0.31,0.54,0.49,0.21,0.0,0.3,0.07,0.43,0.93
google-caja.csv,0.66,0.54,0.53,0.66,0.69,0.49,0.63,0.66,0.72,0.65,0.99,0.61,0.74,0.55,0.75,0.63,0.62,0.75
hibernate.csv,0.94,0.39,0.63,0.24,0.56,0.24,0.47,0.63,0.39,0.73,0.43,0.29,0.25,0.31,0.49,0.0,0.97,0.54
illumination.csv,0.0,0.47,0.45,0.5,0.65,0.24,0.51,0.07,0.55,0.26,0.31,0.23,0.46,0.31,0.3,0.95,0.25,0.51
kindb.csv,0.8,0.62,0.6,0.62,0.56,0.52,0.62,0.62,0.69,0.55,0.61,0.57,0.98,0.48,0.73,0.61,0.6,0.73
officefloor.csv,0.0,0.29,0.34,0.44,0.46,0.38,0.42,0.13,0.91,0.13,0.49,0.22,0.45,0.31,0.0,0.0,0.42,0.42
paintown.csv,0.8,0.99,0.54,0.47,0.47,0.69,0.58,0.7,0.67,0.61,0.55,0.62,0.72,0.69,0.7,0.42,0.63,0.67
poormans.csv,0.89,0.54,0.47,0.5,0.69,0.46,0.65,0.44,0.43,0.57,0.44,0.46,0.64,0.31,1.0,0.56,0.44,0.53
qlc.csv,0.0,0.23,0.15,0.21,0.0,0.17,0.07,0.91,0.0,0.05,0.06,0.0,0.0,0.11,0.0,0.0,0.02,0.12
repositorium.csv,0.89,0.35,0.36,0.38,0.56,0.49,0.64,0.13,0.72,0.68,0.56,0.63,0.14,0.93,0.65,0.39,0.55,0.5
sevenupdate.csv,0.71,0.21,0.6,0.6,0.47,1.0,0.66,0.4,0.05,0.66,0.62,0.21,0.23,0.05,0.49,0.43,0.46,0.63
sqlpower-library.csv,0.51,0.43,0.2,0.41,0.97,0.0,0.41,0.45,0.57,0.6,0.67,0.3,0.77,0.09,0.49,0.21,0.52,0.63
triplea.csv,0.0,0.63,0.99,0.74,0.67,0.41,0.67,0.57,0.64,0.65,0.72,0.41,0.6,0.5,0.65,0.66,0.54,0.67
yarp0.csv,0.0,0.21,0.32,0.39,0.43,0.28,0.65,0.13,0.4,0.35,0.4,1.0,0.58,0.4,0.41,0.28,0.49,0.41
