,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.49,0.83,0.48,0.61,0.57,0.43,0.79,0.56,0.48,0.73,0.56
crisscross.csv,0.99,0.89,0.76,0.79,0.93,0.95,0.97,0.89,0.67,0.66,0.86
cubefs.csv,0.74,0.57,0.42,0.53,0.34,0.48,0.44,0.49,0.39,0.43,0.41
gisgraphy.csv,0.99,0.71,0.88,0.8,0.83,0.92,0.79,0.57,0.89,0.82,0.76
iaml.csv,0.57,0.55,0.52,0.46,0.35,0.63,0.57,0.64,0.43,0.59,0.37
ivataopenportal.csv,0.53,0.44,0.69,0.46,0.37,0.56,0.5,0.49,0.43,0.56,0.33
mb-unit.csv,0.49,0.86,0.55,0.45,0.35,0.42,0.61,0.56,0.38,0.73,0.4
mvdsv.csv,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
nova.csv,0.59,0.69,0.61,0.69,0.49,0.54,0.65,0.53,0.42,0.69,0.62
openwbem.csv,0.64,0.56,0.64,0.59,0.47,0.64,0.57,0.54,0.52,0.64,0.51
xcmetadataservicestoolkit.csv,0.73,0.5,0.44,0.52,0.7,0.52,0.44,0.85,0.41,0.76,0.37
