,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.46,0.43,0.6,0.58,0.8,0.36,0.77,0.57,0.44,0.72
ivatamasks.csv,0.33,0.42,0.33,0.36,0.41,0.43,0.38,0.43,0.41,0.4
orc.csv,0.86,0.4,0.62,0.53,0.94,0.43,0.58,0.66,0.56,0.51
plato.csv,0.35,0.39,0.31,0.48,0.43,0.49,0.41,0.59,0.4,0.42
rodin-b-sharp.csv,0.9,0.73,0.95,0.93,0.94,0.48,0.69,0.57,0.7,0.59
umber.csv,0.5,0.4,0.29,0.41,0.51,0.43,0.4,0.45,0.45,0.41
unicase.csv,0.48,0.41,0.33,0.43,0.66,0.44,0.45,0.57,0.42,0.48
uwom.csv,0.61,0.57,0.58,0.91,0.41,0.62,0.52,0.82,0.68,0.62
vienna-add-in.csv,0.49,0.57,0.42,0.54,0.54,0.7,0.7,0.46,0.64,0.78
wpdev.csv,0.34,0.39,0.29,0.43,0.42,0.42,0.38,0.43,0.39,0.43
