,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,1.0,0.27,0.27,0.25
repositorium.csv,0.57,1.0,0.26,0.56
simplewebservices.csv,0.44,0.22,0.11,0.99
xbg.csv,0.29,0.17,0.93,0.45
