,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.05,0.0,0.0,1.0,0.03,0.0,0.0,0.09,0.01,0.0
coot.csv,0.15,0.52,0.58,0.67,0.78,0.52,0.75,0.31,0.46,0.95
haggle.csv,0.55,0.83,0.97,1.0,0.42,0.51,0.5,0.37,0.28,0.8
ibatisdb.csv,0.05,0.26,0.19,0.0,1.0,0.24,0.0,0.29,0.07,0.45
jas.csv,0.2,0.0,0.14,0.33,0.06,0.2,0.88,0.14,0.17,0.3
mesa3d.csv,0.35,0.3,0.23,0.33,0.25,0.38,0.12,0.11,0.8,0.4
ngl.csv,0.4,0.48,0.55,0.33,0.31,0.99,0.62,0.37,0.65,0.52
pustefix.csv,0.55,0.96,0.18,0.0,0.11,0.11,0.75,0.34,0.59,0.05
scenemonitor.csv,0.95,0.7,0.46,1.0,0.31,0.64,0.5,0.54,0.74,0.65
wsmt.csv,0.1,0.09,0.35,0.33,0.14,0.34,0.38,0.91,0.0,0.08
