,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.06,0.0,0.0,1.0,0.04,0.0,0.0,0.11,0.01,0.0
coot.csv,0.18,0.5,0.57,0.65,0.6,0.53,0.69,0.32,0.48,0.96
haggle.csv,0.52,0.71,0.97,0.85,0.45,0.54,0.54,0.38,0.32,0.62
ibatisdb.csv,0.06,0.29,0.22,0.0,1.0,0.28,0.0,0.33,0.09,0.5
jas.csv,0.24,0.0,0.17,0.38,0.07,0.24,0.9,0.17,0.2,0.34
mesa3d.csv,0.39,0.34,0.27,0.37,0.28,0.41,0.14,0.13,0.83,0.43
ngl.csv,0.43,0.49,0.56,0.37,0.35,0.99,0.63,0.32,0.61,0.53
pustefix.csv,0.54,0.96,0.21,0.0,0.13,0.13,0.62,0.37,0.56,0.06
scenemonitor.csv,0.96,0.65,0.46,0.83,0.32,0.62,0.51,0.47,0.64,0.63
wsmt.csv,0.12,0.11,0.4,0.38,0.17,0.38,0.41,0.93,0.0,0.1
