,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.1,0.0,0.0,1.0,0.05,0.0,0.0,0.15,0.03,0.0
coot.csv,0.24,0.34,0.63,0.13,0.41,0.54,0.17,0.34,0.31,0.97
haggle.csv,0.45,0.49,0.98,0.17,0.32,0.59,0.2,0.4,0.24,0.66
ibatisdb.csv,0.09,0.19,0.29,0.0,1.0,0.32,0.0,0.41,0.11,0.56
jas.csv,0.29,0.0,0.22,0.33,0.08,0.31,0.93,0.21,0.24,0.39
mesa3d.csv,0.37,0.34,0.33,0.12,0.18,0.44,0.07,0.16,0.85,0.46
ngl.csv,0.41,0.36,0.63,0.09,0.27,0.99,0.21,0.36,0.37,0.55
pustefix.csv,0.47,0.96,0.28,0.0,0.09,0.17,0.13,0.39,0.34,0.08
scenemonitor.csv,0.97,0.46,0.52,0.16,0.2,0.63,0.12,0.51,0.38,0.63
wsmt.csv,0.15,0.13,0.49,0.17,0.14,0.45,0.11,0.96,0.0,0.12
