,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.57,0.59,0.47,0.57,0.71,0.91,0.66,0.43,0.92,1.0,0.64
ivatamasks.csv,0.82,0.62,0.58,0.41,0.96,0.83,0.81,0.57,0.91,0.46,0.77
java-gnome.csv,0.27,0.85,0.9,0.92,0.66,0.79,0.56,0.72,0.26,0.97,0.78
orc.csv,0.95,0.49,0.23,0.63,0.92,0.72,0.77,0.7,0.96,1.0,0.72
plato.csv,0.89,0.5,0.96,0.64,0.84,0.3,0.86,0.61,0.79,1.0,0.92
rodin-b-sharp.csv,0.47,1.12,0.57,0.81,0.87,0.66,0.22,0.79,0.45,1.0,0.71
tycho.csv,0.94,1.11,0.7,0.79,0.74,0.8,0.94,0.66,0.78,0.36,0.83
umber.csv,0.18,1.02,1.0,0.62,0.91,1.0,0.96,0.92,0.94,0.83,0.54
unicase.csv,0.32,0.09,0.73,0.96,0.78,0.75,0.73,0.6,0.7,0.81,0.47
vienna-add-in.csv,0.59,1.06,0.86,0.77,0.47,0.81,0.81,0.77,0.85,0.62,0.84
wpdev.csv,0.98,0.01,0.98,1.0,0.98,1.0,1.0,0.94,1.0,0.96,0.99
