,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.93,0.75,0.91,0.87,0.35,0.46,0.75,0.75,0.83,0.68,0.78,0.87,0.7,0.65,0.98,0.17
aztec.csv,0.91,0.72,0.91,0.64,0.93,0.88,0.73,0.73,0.79,0.35,0.76,0.63,0.94,0.81,0.81,0.56
bl-toolkit.csv,1.0,0.69,0.91,0.51,1.06,0.35,0.86,1.09,0.74,0.91,1.0,0.64,1.0,0.83,0.71,1.0
co-ode-owl-plugins.csv,0.98,0.7,0.76,0.97,0.29,0.61,0.52,0.58,0.79,0.8,0.79,0.76,0.73,0.54,0.9,0.17
gbif-indexingtoolkit.csv,1.0,0.65,0.78,0.58,0.84,0.74,0.89,0.95,0.97,0.85,0.97,0.9,0.67,0.67,0.51,0.98
gnukeda.csv,0.79,0.74,0.83,0.92,0.97,0.82,0.32,0.91,0.79,0.82,0.74,0.7,0.82,0.66,0.95,0.86
motu.csv,0.79,0.79,0.59,0.88,0.89,0.74,0.6,0.76,0.72,0.89,0.94,0.53,0.63,0.9,0.67,0.94
oscarmcmaster.csv,0.85,0.75,0.76,0.85,0.8,0.7,0.59,0.58,0.7,0.96,0.72,0.71,0.44,0.58,0.91,0.3
pamguard.csv,1.0,0.69,0.68,0.53,0.7,0.91,0.86,0.78,0.77,0.82,0.5,0.76,0.66,0.66,0.57,0.99
prelude.csv,0.21,0.93,0.79,0.88,0.99,0.96,0.76,0.71,0.95,0.97,0.94,0.92,0.8,0.87,0.92,0.96
qdvdauthor.csv,1.05,0.71,0.73,0.69,0.42,0.85,0.84,0.75,0.69,0.91,0.78,0.91,0.45,0.68,0.57,0.74
qlc.csv,0.98,0.67,0.62,0.71,0.84,0.65,0.61,0.45,0.58,1.0,0.75,0.77,0.48,0.75,0.89,1.0
scite-ru.csv,0.98,0.62,0.56,0.88,0.72,1.0,0.81,0.67,0.8,0.92,0.91,0.72,0.52,0.73,0.64,0.51
tencompetence.csv,0.47,0.83,0.95,0.83,0.9,0.9,0.78,0.81,0.75,1.03,0.73,0.77,0.88,0.95,0.35,1.15
trackit.csv,0.93,0.64,0.8,0.8,0.41,0.79,0.71,0.95,0.89,0.53,1.0,0.8,0.77,0.8,1.0,0.61
yaprm.csv,0.86,0.72,0.68,0.81,1.03,0.95,0.61,0.55,0.43,0.91,0.78,0.92,0.56,0.8,0.66,1.0
