,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.43,0.61,0.46,0.43,0.48,0.52,0.45,0.42,0.76,0.52,0.53,0.57,0.47,0.8,0.49
amateur-scrolls.csv,0.47,0.88,0.83,0.86,0.7,0.95,0.88,0.92,0.9,0.75,0.72,0.99,0.96,0.65,0.8
arianne.csv,0.42,0.65,0.44,0.53,0.6,0.52,0.56,0.46,0.46,0.61,0.54,0.53,0.5,0.34,0.66
bl-toolkit.csv,0.67,0.63,0.49,0.58,0.53,0.68,0.56,0.49,0.47,0.7,0.49,0.51,0.44,0.58,0.66
doomlegacy.csv,0.61,0.53,0.55,0.45,0.54,0.47,0.42,0.4,0.48,0.48,0.48,0.46,0.35,0.56,0.4
enlightenment.csv,0.51,0.6,0.49,0.62,0.49,0.5,0.48,0.4,0.53,0.5,0.54,0.48,0.57,0.73,0.68
fritzing.csv,0.48,0.66,0.62,0.68,0.55,0.79,0.6,0.4,0.49,0.58,0.69,0.59,0.55,0.75,0.95
gnukeda.csv,0.48,0.51,0.46,0.52,0.51,0.51,0.42,0.38,0.5,0.59,0.47,0.42,0.43,0.42,0.36
jlinalg.csv,0.5,0.54,0.62,0.52,0.45,0.41,0.39,0.44,0.47,0.57,0.52,0.46,0.49,0.42,0.39
knowledge.csv,0.46,0.49,0.41,0.41,0.42,0.38,0.35,0.41,0.42,0.45,0.44,0.41,0.38,0.37,0.35
massiv.csv,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
playerstage.csv,0.62,0.76,0.52,0.64,0.51,0.69,0.61,0.45,0.86,0.81,0.6,0.66,0.57,0.89,0.68
psycle.csv,0.55,0.49,0.4,0.47,0.44,0.43,0.38,0.42,0.49,0.45,0.48,0.4,0.39,0.51,0.38
superwaba.csv,0.48,0.59,0.53,0.45,0.45,0.5,0.48,0.55,0.53,0.5,0.55,0.49,0.42,0.36,0.46
wxcrp.csv,0.68,0.51,0.45,0.68,0.46,0.57,0.71,0.41,0.7,0.78,0.64,0.63,0.49,0.83,0.74
