,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,1.0,0.74,0.42,0.37,0.62,0.56,0.61,0.98,0.76,0.71,0.63,0.01,1.0,0.47,0.82
amateur-scrolls.csv,0.93,0.75,0.83,0.14,0.67,0.68,0.5,1.0,0.8,0.5,0.74,0.03,0.7,0.95,1.0
arianne.csv,0.85,0.67,0.59,0.29,0.56,0.99,0.44,0.92,0.7,0.65,0.67,0.01,0.61,0.36,0.86
bl-toolkit.csv,0.95,0.79,0.51,0.28,0.56,0.53,0.58,0.98,0.98,0.59,0.61,0.01,0.62,0.42,0.81
doomlegacy.csv,0.75,0.68,0.45,0.34,0.57,0.52,0.38,0.98,0.76,0.6,0.63,0.01,0.66,0.28,1.0
enlightenment.csv,0.72,0.7,0.43,0.46,0.66,0.58,0.56,0.92,0.71,0.63,0.98,0.01,0.71,0.27,0.81
fritzing.csv,0.94,0.82,0.62,0.32,0.99,0.59,0.55,0.98,0.8,0.73,0.66,0.02,0.59,0.5,0.8
gnukeda.csv,0.81,0.73,0.54,0.28,0.57,0.54,0.55,0.98,0.8,1.0,0.66,0.01,0.66,0.42,0.8
jlinalg.csv,1.0,0.68,0.41,0.3,0.52,0.49,0.42,0.94,0.72,0.64,0.6,0.01,0.65,0.33,0.76
knowledge.csv,0.91,0.67,0.36,0.3,0.49,0.51,0.42,1.0,0.7,0.62,0.59,0.01,0.64,0.34,0.75
massiv.csv,0.0,0.0,0.0,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
playerstage.csv,0.94,0.78,0.53,0.36,0.68,0.63,0.98,1.0,0.86,0.75,0.72,0.01,0.71,0.11,0.86
psycle.csv,0.76,0.98,0.45,0.29,0.49,0.61,0.43,0.96,0.77,0.59,0.62,0.01,0.65,0.35,0.75
superwaba.csv,0.86,0.76,0.98,0.31,0.6,0.51,0.48,0.91,0.75,0.54,0.57,0.01,0.64,0.36,0.82
wxcrp.csv,0.77,0.81,0.35,1.0,0.51,0.49,0.68,0.97,0.7,0.89,0.73,0.01,0.7,0.33,0.91
