,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.17,0.11,0.36,0.0,0.0,0.34,0.26,0.31,0.31,0.12,0.26,0.88,0.21,0.21,0.19,0.11
betoffice.csv,0.08,0.47,0.04,0.43,0.5,0.38,0.26,0.0,0.44,0.5,0.11,0.38,0.44,0.46,0.35,0.67
bionote.csv,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0
bnetd.csv,0.83,0.68,0.37,0.63,0.0,0.75,0.39,0.62,0.57,0.5,0.0,0.62,0.69,0.34,0.39,0.67
elvishrayrenderer.csv,0.58,0.47,0.42,0.57,0.5,0.55,0.52,0.47,0.53,0.75,0.51,0.88,0.67,0.46,0.51,0.0
emisview.csv,0.0,0.0,0.0,0.22,0.0,0.06,0.0,0.07,0.05,0.0,0.0,0.5,0.13,0.01,0.03,0.0
hazelcast.csv,0.83,0.47,0.3,0.67,0.0,0.98,0.83,0.8,0.9,0.5,0.54,1.0,0.88,0.62,0.72,0.61
jitterbit.csv,0.42,0.26,0.93,0.15,0.3,0.28,0.13,0.22,0.01,0.25,0.31,0.12,0.17,0.17,0.3,0.33
jppf-project.csv,0.92,1.0,0.21,0.98,0.6,0.94,0.91,0.98,0.9,1.0,1.0,0.0,0.92,0.59,0.67,1.0
l2j.csv,0.58,0.47,0.03,0.5,0.1,0.85,0.61,0.58,0.66,0.5,0.74,0.75,0.83,0.0,0.57,0.89
megasquirtavr.csv,0.67,1.0,0.01,1.0,0.3,1.0,0.87,0.8,0.76,1.0,1.0,1.0,0.96,0.72,0.88,1.0
stajistics.csv,0.33,0.11,0.26,0.48,0.0,0.51,0.22,0.16,0.24,0.5,0.17,0.88,0.46,0.17,0.01,0.22
trackit.csv,0.75,0.58,0.16,0.74,0.3,0.75,0.04,0.42,0.66,0.62,0.89,0.5,0.58,0.34,0.61,0.56
wxlua.csv,0.75,1.0,0.89,0.87,1.0,0.32,0.83,0.71,0.74,0.12,1.0,0.75,1.0,0.88,0.87,0.72
x4x.csv,0.0,0.89,0.15,0.57,0.9,0.7,0.74,0.76,0.57,0.62,0.63,0.75,0.71,0.59,0.51,0.33
xharbour.csv,1.0,0.05,0.6,0.8,1.0,0.89,0.87,0.96,0.95,0.62,1.0,0.75,0.98,1.0,0.96,0.89
