,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.69,0.75,0.5,0.0,0.69,0.74,0.89,0.92,0.62,0.94,0.88,1.01,0.54,0.66,0.53,0.74
betoffice.csv,0.84,0.86,1.0,0.97,0.84,0.95,0.78,0.04,0.79,0.58,0.75,0.88,0.77,0.78,0.75,0.97
bionote.csv,0.86,1.0,0.95,1.0,0.87,1.0,0.95,0.98,0.87,0.99,1.0,0.97,0.25,0.96,1.0,1.0
bnetd.csv,0.87,0.71,0.62,0.65,0.35,0.77,0.85,0.73,0.62,0.74,0.05,0.65,0.69,0.53,0.47,0.71
elvishrayrenderer.csv,0.68,0.59,0.86,0.59,0.6,0.59,0.68,0.71,0.63,0.8,0.63,0.9,0.68,0.57,0.63,0.0
emisview.csv,0.83,1.0,1.0,0.8,0.91,0.06,0.98,1.0,0.94,1.0,1.0,0.87,0.76,0.94,0.73,0.97
hazelcast.csv,0.84,0.55,0.5,0.68,0.02,0.98,0.86,0.82,0.91,0.64,0.59,1.0,0.89,0.65,0.73,0.67
jitterbit.csv,0.62,0.44,0.98,0.79,0.65,0.75,0.91,0.92,0.06,0.92,0.56,0.9,0.41,0.83,0.67,0.7
jppf-project.csv,0.92,1.0,0.63,0.98,0.64,0.96,0.97,0.98,0.99,1.0,1.0,0.0,0.96,0.74,0.73,1.0
l2j.csv,0.64,0.55,0.9,0.55,0.32,0.86,0.78,0.67,0.75,0.56,0.75,0.78,0.84,0.0,0.61,0.91
megasquirtavr.csv,0.67,1.0,0.25,1.0,0.31,1.0,0.87,0.84,0.79,1.0,1.0,1.0,0.96,0.73,0.89,1.0
stajistics.csv,0.52,0.78,0.56,0.55,0.33,0.59,0.81,0.92,0.61,0.85,0.64,0.98,0.52,0.62,0.01,0.49
trackit.csv,0.88,0.68,0.62,0.79,0.53,0.89,0.05,0.9,0.88,0.69,0.97,0.8,0.85,0.68,0.81,0.75
wxlua.csv,0.79,1.0,0.89,0.87,1.0,0.73,0.83,0.74,0.8,0.13,1.0,0.83,1.01,0.88,0.89,0.78
x4x.csv,0.0,0.92,0.86,0.63,0.94,0.72,0.85,0.84,0.84,0.77,0.74,0.78,0.75,0.71,0.65,0.6
xharbour.csv,1.0,0.05,0.64,0.82,1.0,0.92,0.87,0.96,0.95,0.77,1.0,0.77,0.98,1.0,0.96,0.89
