,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.45,0.61,0.26,0.56,0.63,0.14,0.14,0.9,0.12,0.24
geotools.csv,0.92,0.93,0.5,0.44,0.84,0.2,0.33,0.95,0.58,0.41
gephex.csv,0.49,0.9,0.66,1.0,0.83,0.49,0.63,0.34,0.76,0.79
haggle.csv,0.26,0.34,0.27,0.0,0.2,0.49,0.48,0.34,0.49,0.03
java-gnome.csv,0.21,0.44,0.29,0.12,0.36,0.29,0.33,0.37,0.43,0.5
jgnash.csv,0.55,0.44,0.25,0.5,0.38,0.37,0.46,0.83,0.77,0.91
jrdf.csv,0.19,0.32,0.68,0.69,0.27,0.22,0.4,0.1,0.27,0.65
mpqc.csv,0.22,0.2,0.22,0.12,0.27,0.08,0.2,0.56,0.48,0.12
panda3d.csv,0.38,0.34,0.6,0.38,0.3,0.24,0.54,0.61,0.39,0.24
tencompetence.csv,0.22,0.46,0.5,0.5,0.42,0.86,0.73,0.12,0.27,0.56
