,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.95,0.46,0.95,0.98,0.92,0.94,1.0,0.98,1.0,0.97
bibedt.csv,0.62,0.85,0.79,0.7,0.92,0.59,0.37,0.48,0.64,0.77
cascading.csv,0.59,0.61,0.53,0.6,0.92,0.61,0.45,0.67,0.53,0.55
firebreath.csv,0.73,0.71,0.49,0.69,1.0,0.59,0.47,0.6,0.63,0.68
fritzing.csv,0.37,0.54,0.62,0.46,0.84,0.82,0.93,0.7,0.72,0.6
httpcontentparser.csv,0.87,1.0,0.83,0.9,0.92,0.32,0.68,0.63,0.77,0.9
mpgravity.csv,0.9,0.69,0.78,0.62,0.26,0.77,0.95,0.71,0.77,0.72
patterntesting.csv,0.79,0.81,0.92,0.38,0.83,0.97,0.74,0.98,0.91,0.88
roller.csv,0.77,0.88,0.67,0.59,0.94,0.82,0.84,0.39,0.53,1.0
xfce.csv,0.89,0.75,0.82,0.74,1.0,0.88,0.71,0.54,0.69,0.46
