,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.64,0.29,0.69,0.22,0.51,0.48,0.64,0.65,0.73,0.54
gamestone.csv,0.11,0.87,0.24,0.5,0.17,0.0,0.0,0.05,0.0,0.05
gbif-providertoolkit.csv,0.31,0.25,0.29,0.27,0.78,0.39,0.29,0.69,0.18,0.0
heekscad.csv,0.76,0.64,0.62,0.6,0.7,0.48,0.7,0.6,0.8,0.66
igarden.csv,0.56,0.29,0.39,0.66,0.52,0.45,0.3,0.36,0.43,0.4
levent.csv,0.48,0.15,0.05,0.0,0.6,0.71,0.63,0.1,0.0,0.05
owlapi.csv,0.38,0.0,0.41,0.19,0.56,0.59,0.42,0.76,0.64,0.56
pnotepad.csv,0.64,0.77,0.63,0.17,0.34,0.6,0.61,0.4,0.0,0.86
quark.csv,0.55,0.29,0.54,0.12,0.41,0.02,0.04,0.32,0.83,0.34
xcsoar.csv,0.7,0.29,0.69,0.59,0.65,0.53,0.43,0.51,0.0,0.25
