,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.5,0.93,0.41,0.73,0.39,0.48,0.48,0.42,0.41,0.62
gamestone.csv,0.86,0.47,0.96,0.5,0.91,0.0,0.0,0.96,0.83,0.67
gbif-providertoolkit.csv,0.66,0.66,0.84,0.97,0.66,0.54,0.42,0.53,0.8,0.51
heekscad.csv,0.36,0.56,0.44,0.5,0.4,0.4,0.4,0.43,0.38,0.39
igarden.csv,0.49,0.67,0.69,0.43,0.55,0.56,0.82,0.8,0.36,0.56
levent.csv,0.62,0.0,0.5,0.0,0.36,0.45,0.49,0.5,0.0,0.5
owlapi.csv,0.58,0.94,0.8,0.94,0.43,0.5,0.44,0.61,0.49,0.61
pnotepad.csv,0.4,0.56,0.36,0.31,0.35,0.43,0.41,0.5,0.34,0.4
quark.csv,0.43,0.83,0.55,0.89,0.93,0.0,0.0,0.82,0.61,0.73
xcsoar.csv,0.39,0.86,0.39,0.38,0.43,0.45,0.53,0.57,0.34,0.6
